By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,POR,29,32.7,49.6,50.4,32.2,6.4,49,13.6,18.8,12.9,25.7,48.6,51.4,95.8,4.2,72.3,27.7,Jerami Grant,91
2023-24,POR,54,33.9,67.5,32.5,48.1,11.8,29.4,10.6,22.5,16.2,36.2,44.5,55.5,97.3,2.7,59.8,40.2,Jerami Grant,91
2022-23,POR,63,35.6,60.7,39.3,45,9.5,33.5,15,21.5,15.3,35.5,57.9,42.1,97.2,2.8,71,29,Jerami Grant,91
2021-22,DET,47,31.9,63.7,36.3,45.8,14.8,30.2,8.1,24,13.8,31,49.8,50.2,96.7,3.3,64.1,35.9,Jerami Grant,91
2020-21,DET,54,33.9,64.7,35.3,47.3,12.4,28.6,7.1,24.1,13.9,34.9,53.7,46.3,93,7,65,35,Jerami Grant,91
2019-20,DEN,71,26.6,60.3,39.7,48.2,6.8,34.5,8.2,17.3,13.3,41.4,76.6,23.4,100,0,84.2,15.8,Jerami Grant,91
2018-19,OKC,80,32.7,64.4,35.6,53.9,3.3,31.7,12.5,14.4,17.5,50.6,78.6,21.4,99.1,0.9,84.4,15.6,Jerami Grant,91
2017-18,OKC,81,20.3,75.9,24.1,62.2,2.6,14.1,10.1,23.7,22,59.5,73.1,26.9,93.8,6.3,75.8,24.2,Jerami Grant,91
2016-17,TOT,80,19.1,64.6,35.4,49.9,5.5,29.5,14.4,20.6,16,44.4,65.1,34.9,97.7,2.3,74.3,25.7,Jerami Grant,91
2016-17,OKC,78,19.1,63.3,36.7,48.9,4.8,30.6,14.7,20.5,16.2,44.2,63.1,36.9,97.7,2.3,73.3,26.7,Jerami Grant,91
2016-17,PHI,2,20.6,88.2,11.8,75,25,0,6.3,25,12.5,50,100,0,0,0,100,0,Jerami Grant,91
2015-16,PHI,77,26.8,75.6,24.4,57.7,2.7,14,16.3,28.3,18.3,55,68.5,31.5,100,0,72.9,27.1,Jerami Grant,91
2014-15,PHI,65,21.2,55.7,44.3,36.5,3.4,35.8,15.1,27.7,21.2,33.1,61.3,38.7,98,2,75.8,24.2,Jerami Grant,91
