By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,MIA,22,30.8,86.2,13.8,59.9,6.2,9.3,16.8,30.8,17.3,53.7,49.1,50.9,83.3,16.7,52.3,47.7,Jimmy Butler,69
2023-24,MIA,60,34.0,81.7,18.3,53.9,8,14.4,12.3,31.7,15.7,45.9,45.2,54.8,80,20,50.5,49.5,Jimmy Butler,69
2022-23,MIA,64,33.4,88.4,11.6,60.4,10.4,7.4,12.7,32.2,17.5,50.1,37.7,62.3,69.4,30.6,40.1,59.9,Jimmy Butler,69
2021-22,MIA,57,33.9,86,14,60.9,12.1,6.6,12,32.5,16,48.7,37.7,62.3,77.8,22.2,40.5,59.5,Jimmy Butler,69
2020-21,MIA,52,33.6,86.1,13.9,61.1,11.5,6.7,14.6,32.2,17.9,49.6,35.8,64.2,68,32,38,62,Jimmy Butler,69
2019-20,MIA,58,33.8,84.3,15.7,54.6,9.2,7.5,12,37.9,16.5,45.5,40.2,59.8,55.2,44.8,41.4,58.6,Jimmy Butler,69
2018-19,TOT,65,33.6,78.7,21.3,57.8,13.8,16.5,13.9,25.7,13.8,44,48.1,51.9,67.2,32.8,51.2,48.8,Jimmy Butler,69
2018-19,PHI,55,33.2,80.2,19.8,58.7,15,15,13.5,26.3,13.9,43.7,51,49,72,28,54.1,45.9,Jimmy Butler,69
2018-19,MIN,10,36.1,71.3,28.7,53.5,8.5,23.9,16,22.6,13.6,45.1,33.3,66.7,52.9,47.1,37.8,62.2,Jimmy Butler,69
2017-18,MIN,59,36.7,78.3,21.7,56.2,17.4,16.1,11.6,27.7,18.1,38.7,33.2,66.8,75.7,24.3,40,60,Jimmy Butler,69
2016-17,CHI,76,37.0,80.2,19.8,52.8,20,15,16.9,32.2,16.6,32.7,36.5,63.5,63.7,36.3,40.9,59.1,Jimmy Butler,69
2015-16,CHI,67,36.9,80.2,19.8,58,19.7,13.7,12.4,28.3,15.8,38.3,44.1,55.9,71.9,28.1,47.9,52.1,Jimmy Butler,69
2014-15,CHI,65,38.7,78.8,21.2,53.5,17.5,16.8,17,29.7,18.8,36,56.9,43.1,91.8,8.2,62.9,37.1,Jimmy Butler,69
2013-14,CHI,67,38.7,65.4,34.6,47.2,15.3,23.2,18.3,29.6,21.6,31.9,59.4,40.6,98.5,1.5,69.1,30.9,Jimmy Butler,69
2012-13,CHI,82,26.0,79.5,20.5,56.5,14.8,17,14.9,26.5,20.4,41.7,63.8,36.2,97.5,2.5,69.5,30.5,Jimmy Butler,69
2011-12,CHI,42,8.5,86.1,13.9,55,18.3,5.5,23.9,39.5,19.3,36.7,63.3,36.7,100,0,65.6,34.4,Jimmy Butler,69
