By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,UTA,22,25.6,58.2,41.8,44.3,6.3,34.9,9.7,20.8,11.6,38.1,26.9,73.1,63.4,36.6,39.5,60.5,Jordan Clarkson,82
2023-24,UTA,55,30.6,62.1,37.9,52.2,7.4,29,8.7,18.8,10.1,44.8,37,63,70.3,29.7,46,54,Jordan Clarkson,82
2022-23,UTA,61,32.6,55.5,44.5,47.7,4.9,36.6,11.6,15.7,12.4,42.8,21.5,78.5,74.8,25.2,39.5,60.5,Jordan Clarkson,82
2021-22,UTA,79,27.1,46.4,53.6,43.6,4.1,45,9.2,11.4,12.4,39.5,22.1,77.9,67.4,32.6,40.6,59.4,Jordan Clarkson,82
2020-21,UTA,68,26.7,44.3,55.7,39.8,2.6,49.9,12.1,10.3,13.3,37.3,16.5,83.5,63,37,37.6,62.4,Jordan Clarkson,82
2019-20,TOT,71,24.0,52.4,47.6,44.9,3.5,42.3,9.7,12.8,13.8,41.4,25.6,74.4,77,23,45.4,54.6,Jordan Clarkson,82
2019-20,UTA,42,24.7,53,47,47.9,4,42.6,10.1,9.5,14.5,44,23.6,76.4,76.3,23.7,43.2,56.8,Jordan Clarkson,82
2019-20,CLE,29,23.0,51.2,48.8,40.2,2.8,41.8,9.2,18,12.8,37.4,29.4,70.6,78,22,49.3,50.7,Jordan Clarkson,82
2018-19,CLE,81,27.3,62.3,37.7,56.5,16.6,31.7,9.8,11.8,15.7,39.9,26.5,73.5,78.5,21.5,40.6,59.4,Jordan Clarkson,82
2017-18,TOT,81,23.3,66.7,33.3,56.6,17.1,29.9,12.9,13.5,15.4,39.5,27.7,72.3,79.5,20.5,41.2,58.8,Jordan Clarkson,82
2017-18,CLE,28,22.6,62.4,37.6,49.3,19.3,37.4,13.9,13.3,21.2,30,28.7,71.3,79.5,20.5,45.8,54.2,Jordan Clarkson,82
2017-18,LAL,53,23.7,68.5,31.5,59.9,16.1,26.5,12.5,13.6,12.7,43.8,27.3,72.7,79.4,20.6,39.1,60.9,Jordan Clarkson,82
2016-17,LAL,82,29.2,66.8,33.2,59.8,14.9,29.1,14.3,11.1,16.4,44.8,25.3,74.7,77.8,22.2,38.2,61.8,Jordan Clarkson,82
2015-16,LAL,79,32.3,70.9,29.1,59.4,17.1,27.2,13.4,13.4,13.4,42.3,30.5,69.5,75.7,24.3,41.1,58.9,Jordan Clarkson,82
2014-15,LAL,59,25.0,79.7,20.3,65.1,22.2,16.2,20.6,18.7,17.9,43,27.9,72.1,73.7,26.3,34.5,65.5,Jordan Clarkson,82
