By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,NYK,36,37.7,62.4,37.6,56.5,3.9,28.1,19.9,15.4,16.4,52.6,57.9,42.1,85.4,14.6,64.8,35.2,Josh Hart,96
2023-24,NYK,81,33.4,62,38,56.5,2.9,31.5,19.2,12,17,53.6,63.3,36.7,88.8,11.3,70.2,29.8,Josh Hart,96
2022-23,TOT,76,32.3,68.5,31.5,57.6,1.9,24.6,28.1,17.8,15.1,55.7,44.4,55.6,100,0,56.7,43.3,Josh Hart,96
2022-23,NYK,25,30.0,66.9,33.1,50.8,0.8,31.6,25,17.6,18,50,38.5,61.5,100,0,56.5,43.5,Josh Hart,96
2022-23,POR,51,33.4,69.1,30.9,61.2,2.5,20.9,29.8,17.9,13.6,58.7,47,53,100,0,56.8,43.2,Josh Hart,96
2021-22,TOT,54,33.2,62.6,37.4,53,4.7,27.1,25.9,19.9,14.1,48.3,47.2,52.8,74,26,54,46,Josh Hart,96
2021-22,POR,13,32.1,54.6,45.4,47.1,4.6,35.9,20.5,17,14.7,42.5,39.3,60.7,58.1,41.9,45.7,54.3,Josh Hart,96
2021-22,NOP,41,33.5,66.3,33.7,55.8,4.7,23,28.5,21.2,13.9,51.1,50.3,49.7,85.7,14.3,57.9,42.1,Josh Hart,96
2020-21,NOP,47,28.7,43.9,56.1,40.6,4.1,43.5,26,15.9,10.6,36.4,59.1,40.9,98.4,1.6,75.5,24.5,Josh Hart,96
2019-20,NOP,65,27.0,33.5,66.5,31.7,0.9,55.3,27.7,13,16,30.8,46.2,53.8,96.7,3.3,73.3,26.7,Josh Hart,96
2018-19,LAL,67,25.6,40.9,59.1,37,2.3,52.6,29.5,10.4,22.5,34.7,72.2,27.8,92.4,7.6,82,18,Josh Hart,96
2017-18,LAL,63,23.2,47.5,52.5,39.5,3.6,47.2,28.8,13.3,21.2,35.9,63.3,36.7,93.6,6.4,76.7,23.3,Josh Hart,96
