By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,MIN,36,33.0,65.9,34.1,50.9,5.4,26.5,11.2,22.6,13.5,45.5,39.7,60.3,82.3,17.7,50.6,49.4,Julius Randle,47
2023-24,NYK,46,35.4,70.8,29.2,57.9,6.9,20.7,12.7,21.4,12.7,51,42.3,57.7,86.8,13.2,50.9,49.1,Julius Randle,47
2022-23,NYK,77,35.5,55.6,44.4,45.5,8.5,33.8,7.3,20.7,12.3,37,38.2,61.8,75.2,24.8,50.5,49.5,Julius Randle,47
2021-22,NYK,72,35.3,68.7,31.3,54.2,13.8,24.9,6.5,20.9,15,40.4,36.2,63.8,80,20,46.5,53.5,Julius Randle,47
2020-21,NYK,71,37.6,70.6,29.4,51.6,20,28,4.9,20.4,14.1,31.7,34.2,65.8,79.4,20.6,46.2,53.8,Julius Randle,47
2019-20,NYK,64,32.5,77,23,63.9,8.8,15.4,5.8,20.7,14.3,55.1,40.4,59.6,93.8,6.3,47.7,52.3,Julius Randle,47
2018-19,NOP,73,30.6,82.1,17.9,64.4,2.9,12.8,10.7,22.8,14.4,61.5,49,51,91,9,53.9,46.1,Julius Randle,47
2017-18,LAL,82,26.7,95,5,74.7,3.3,2.3,16.8,23,15,71.4,53.4,46.6,100,0,54.4,45.6,Julius Randle,47
2016-17,LAL,74,28.8,91.8,8.2,73.8,7.6,5.2,18.3,21,17,66.3,48.9,51.1,94.1,5.9,50.9,49.1,Julius Randle,47
2015-16,LAL,81,28.2,95.7,4.3,75.7,8.5,3.3,16.2,21,18.7,67.2,45.1,54.9,70,30,45.8,54.2,Julius Randle,47
2014-15,LAL,1,13.6,100,0,100,100,0,0,0,0,0,0,100,0,0,0,100,Julius Randle,47
