By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,NYK,32,34.3,69.4,30.6,53.9,3.5,26.3,3.3,19.8,11.8,50.4,58.6,41.4,97.1,2.9,68.1,31.9,Karl-Anthony Towns,15
2023-24,MIN,62,32.7,65.6,34.4,50.9,5.2,30.2,5,18.9,14.2,45.7,64.1,35.9,97.1,2.9,73.5,26.5,Karl-Anthony Towns,15
2022-23,MIN,29,33.0,61.7,38.3,50.5,8.3,29.9,9.1,19.6,13.8,42.2,59.9,40.1,96.7,3.3,70.3,29.7,Karl-Anthony Towns,15
2021-22,MIN,74,33.5,69.9,30.1,54.1,4.7,24.8,5.3,21.1,14,49.4,53.7,46.3,88.7,11.3,61.8,38.2,Karl-Anthony Towns,15
2020-21,MIN,50,33.8,64,36,48.9,5.5,29.5,4.8,21.6,13.9,43.4,55.8,44.2,93.4,6.6,66.6,33.4,Karl-Anthony Towns,15
2019-20,MIN,35,33.9,55.5,44.5,43.6,2.8,36.9,3.8,19.5,12.3,40.8,50.5,49.5,81.6,18.4,61.7,38.3,Karl-Anthony Towns,15
2018-19,MIN,77,33.0,73,27,57.3,7.9,22.7,2.9,20,15,49.5,58.4,41.6,93,7,65.6,34.4,Karl-Anthony Towns,15
2017-18,MIN,82,35.6,75.7,24.3,59.6,10.3,20.7,3.3,19.7,14.6,49.2,64.2,35.8,97.5,2.5,70.4,29.6,Karl-Anthony Towns,15
2016-17,MIN,82,37.0,81.4,18.6,68,12,14.7,5.8,17.3,13.4,56,59.6,40.4,96,4,64.2,35.8,Karl-Anthony Towns,15
2015-16,MIN,82,32.0,92.4,7.6,79.2,25.9,6,5.8,14.8,15.4,53.2,66.7,33.3,90,10,67.8,32.2,Karl-Anthony Towns,15
