By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,PHX,22,36.0,69.3,30.7,53.1,17.7,26.1,14.9,20.8,15.1,35.4,42.6,57.4,83,17,52.6,47.4,Kevin Durant,8
2023-24,PHX,75,37.2,71.7,28.3,57.4,24.7,24.8,12.7,17.8,13.8,32.7,51.1,48.9,81.5,18.5,57.9,42.1,Kevin Durant,8
2022-23,TOT,47,35.6,73.3,26.7,57.1,26.8,20.4,9.8,22.5,12.2,30.3,46.4,53.6,65.6,34.4,50.1,49.9,Kevin Durant,8
2022-23,PHX,8,33.7,68,32,49,26,31.7,5.8,19.3,4.8,23.1,51,49,86.4,13.6,61.6,38.4,Kevin Durant,8
2022-23,BKN,39,36.0,74.3,25.7,58.5,26.9,18.4,10.5,23.1,13.5,31.6,45.7,54.3,59.2,40.8,48,52,Kevin Durant,8
2021-22,BKN,55,37.2,73.1,26.9,56.4,27.5,21,11.7,22.6,12.1,28.8,49.9,50.1,55.7,44.3,51,49,Kevin Durant,8
2020-21,BKN,35,33.1,68.7,31.3,50.7,19.3,27,10.8,22.3,11.9,31.4,47.7,52.3,64.7,35.3,52.2,47.8,Kevin Durant,8
2018-19,GSW,78,34.6,71.9,28.1,57.6,25.1,20.3,17.6,22.1,13.9,32.6,47.1,52.9,56.9,43.1,49,51,Kevin Durant,8
2017-18,GSW,68,34.2,66.2,33.8,51,21.7,29,16.3,20,14.1,29.4,48.8,51.2,68.8,31.2,54.3,45.7,Kevin Durant,8
2016-17,GSW,62,33.4,69.6,30.4,55.8,15.8,22.6,22.9,21.6,18.2,40,56.5,43.5,81.2,18.8,61.7,38.3,Kevin Durant,8
2015-16,OKC,72,35.8,65.2,34.8,50.5,19.3,27.5,16.5,22,10.5,31.1,51.8,48.2,64,36,55,45,Kevin Durant,8
2014-15,OKC,27,33.8,66,34,50.7,20.4,28,15.6,21.3,15.7,30.3,51.1,48.9,65.6,34.4,55,45,Kevin Durant,8
2013-14,OKC,81,38.5,70.9,29.1,50.7,17.4,22.2,17.3,27.1,16,33.2,44.7,55.3,55.7,44.3,47.2,52.8,Kevin Durant,8
2012-13,OKC,81,38.5,76.7,23.3,51.9,18.6,18.3,14.9,29.8,16.9,33.3,44.9,55.1,79.9,20.1,51.6,48.4,Kevin Durant,8
2011-12,OKC,66,38.6,73.5,26.5,55.1,21.8,21.6,15.8,23.3,14.2,33.3,39.6,60.4,80.5,19.5,48.1,51.9,Kevin Durant,8
2010-11,OKC,78,38.9,73.1,26.9,52.4,25.5,20.1,15,27.5,15.3,26.8,56.5,43.5,85.5,14.5,62.4,37.6,Kevin Durant,8
2009-10,OKC,82,39.5,79,21,53.9,21.8,15.5,17.9,30.6,19.2,32.1,47.1,52.9,77.3,22.7,52,48,Kevin Durant,8
2008-09,OKC,74,39.0,83.5,16.5,60.3,27.6,15.6,18.4,24.1,16.3,32.7,50.2,49.8,94.8,5.2,56.7,43.3,Kevin Durant,8
2007-08,SEA,80,34.6,85,15,65,30,10.9,22,24.1,19,35,55.5,44.5,93.2,6.8,59.3,40.7,Kevin Durant,8
