By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DAL,32,27.8,35.3,64.7,28.2,14.5,64.8,12.1,7,12.8,13.7,67.2,32.8,95.9,4.1,84.6,15.4,Klay Thompson,97
2023-24,GSW,77,29.7,38.9,61.1,32.3,15,58.5,12.4,9.2,13.4,17.3,72.1,27.9,93.7,6.3,83.9,16.1,Klay Thompson,97
2022-23,GSW,69,33.0,41.6,58.4,32.5,13.9,59.8,15.9,7.7,15.2,18.6,72.7,27.3,89,11,81.7,18.3,Klay Thompson,97
2021-22,GSW,32,29.4,48.3,51.7,40.5,19,52.5,14.7,7,15.2,21.5,63.6,36.4,88.6,11.4,75.2,24.8,Klay Thompson,97
2018-19,GSW,78,34.0,57.3,42.7,49.3,24.2,43,16.4,7.7,13.2,25.1,74.6,25.4,91.7,8.3,80.9,19.1,Klay Thompson,97
2017-18,GSW,73,34.3,55.8,44.2,47.4,26.8,47,19,5.6,12.1,20.5,74.3,25.7,95.2,4.8,82.6,17.4,Klay Thompson,97
2016-17,GSW,78,34.0,53,47,43.2,19.2,46.2,18.9,10.6,18,24,75,25,95.5,4.5,83.5,16.5,Klay Thompson,97
2015-16,GSW,80,33.3,53.1,46.9,42.3,14.3,46.8,18.3,10.9,13.8,28,72.5,27.5,92.4,7.6,81,19,Klay Thompson,97
2014-15,GSW,77,31.9,58,42,43.5,16.3,43,18.7,13.5,14.9,27.2,55.6,44.4,90.8,9.2,69.6,30.4,Klay Thompson,97
2013-14,GSW,81,35.4,57.5,42.5,45.2,21.6,45,15.5,9.8,15.9,23.5,62.2,37.8,94.6,5.4,75.1,24.9,Klay Thompson,97
2012-13,GSW,82,35.8,56.3,43.7,43.7,24.3,46.6,19.1,9.7,16.6,19.4,75.1,24.9,94.8,5.2,83.3,16.7,Klay Thompson,97
2011-12,GSW,66,24.4,62.7,37.3,50.1,27.4,40.3,11.6,9.6,19.4,22.8,62.3,37.7,92.8,7.2,73,27,Klay Thompson,97
