By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,BOS,14,27.9,57.5,42.5,46.1,7.8,30.5,7.4,23.4,7.4,38.3,71.2,28.8,96.2,3.8,78.8,21.2,Kristaps Porzingis,65
2023-24,BOS,57,29.6,61,39,48.6,5.6,28.8,6,22.6,8.9,43,71.6,28.4,99.1,0.9,79.4,20.6,Kristaps Porzingis,65
2022-23,WAS,65,32.6,65,35,49.2,11.7,27.3,2.9,23.5,11.2,37.5,62.2,37.8,94.9,5.1,71,29,Kristaps Porzingis,65
2021-22,TOT,51,29.0,67.1,32.9,53.2,12.8,22.7,7.3,24.1,11.2,40.4,68.2,31.8,98.7,1.3,75,25,Kristaps Porzingis,65
2021-22,WAS,17,28.2,69.5,30.5,50,14.4,23.1,3.2,26.9,10.9,35.6,62.8,37.2,96.6,3.4,70.7,29.3,Kristaps Porzingis,65
2021-22,DAL,34,29.5,65.9,34.1,55,11.9,22.5,9.6,22.5,11.3,43.1,71.1,28.9,100,0,77.3,22.7,Kristaps Porzingis,65
2020-21,DAL,43,30.9,62.2,37.8,52.7,12.3,33.6,5.9,13.7,8.8,40.5,71.1,28.9,96.9,3.1,78.8,21.2,Kristaps Porzingis,65
2019-20,DAL,57,31.8,56.8,43.2,44,12.7,36.6,5.5,19.4,12,31.3,72.7,27.3,97.2,2.8,81.4,18.6,Kristaps Porzingis,65
2017-18,NYK,48,32.4,74.4,25.6,55.1,24.1,24.8,5.1,20.1,12.8,31.1,64.7,35.3,98.9,1.1,72.6,27.4,Kristaps Porzingis,65
2016-17,NYK,66,32.8,68.1,31.9,55.4,19.7,28.1,7.9,16.5,12.4,35.6,66.8,33.2,98.2,1.8,74.7,25.3,Kristaps Porzingis,65
2015-16,NYK,72,28.4,72.6,27.4,56.8,23.7,23.6,3.8,19.6,10.2,33.1,58.6,41.4,98.8,1.2,67.3,32.7,Kristaps Porzingis,65
