By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DAL,30,35.6,61.6,38.4,48.3,11.5,38.3,11.8,13.4,11.2,36.8,30.1,69.9,61.3,38.7,40.9,59.1,Kryie Irving,21
2023-24,DAL,58,35.0,62.8,37.2,52.3,15.2,34.9,14.3,12.8,12.6,37.1,37.5,62.5,65.3,34.7,46.1,53.9,Kryie Irving,21
2022-23,TOT,60,37.3,58.8,41.2,50,12.9,34.8,14.5,15.2,12.9,37.1,29.1,70.9,51.1,48.9,36,64,Kryie Irving,21
2022-23,DAL,20,38.1,61.5,38.5,51.2,10,32.3,13.7,16.5,13.2,41.2,28.3,71.7,50,50,34.7,65.3,Kryie Irving,21
2022-23,BKN,40,36.9,57.5,42.5,49.4,14.4,36,14.9,14.6,12.8,35.1,29.5,70.5,51.5,48.5,36.7,63.3,Kryie Irving,21
2021-22,BKN,29,37.6,61.2,38.8,47.5,15.6,37.7,12.7,14.8,11.3,31.9,23.3,76.7,59,41,35.6,64.4,Kryie Irving,21
2020-21,BKN,54,34.9,65.2,34.8,54.7,15.4,31.4,10.9,13.9,10.1,39.3,23.4,76.6,57.9,42.1,33,67,Kryie Irving,21
2019-20,BKN,20,32.9,65.9,34.1,52.2,13.9,30.7,11.1,17.1,13.1,38.3,20.3,79.7,35.7,64.3,24.6,75.4,Kryie Irving,21
2018-19,BOS,67,33.0,65,35,53.9,17.5,32.7,15,13.4,14.1,36.3,26.5,73.5,63.8,36.2,37.3,62.7,Kryie Irving,21
2017-18,BOS,60,32.2,62.6,37.4,50.2,15.3,34,8.6,15.8,9.6,34.9,26.4,73.6,53,47,34.6,65.4,Kryie Irving,21
2016-17,CLE,72,35.1,68.9,31.1,54.4,21.6,29.2,9.7,16.4,10.7,32.8,22.3,77.7,53.1,46.9,30.4,69.6,Kryie Irving,21
2015-16,CLE,53,31.5,70.2,29.8,59.6,23.8,24.2,11.7,16.2,14.3,35.7,20.6,79.4,59.5,40.5,28.9,71.1,Kryie Irving,21
2014-15,CLE,75,36.4,69.4,30.6,51.7,17.8,28.9,11.1,19.4,13.1,33.9,21.6,78.4,61.8,38.2,32.5,67.5,Kryie Irving,21
2013-14,CLE,71,35.2,72.2,27.8,55.3,23.8,25,14.5,19.7,13.7,31.5,26.7,73.3,45.5,54.5,31,69,Kryie Irving,21
2012-13,CLE,59,34.7,73.9,26.1,56.6,24.3,24.7,11,18.7,14.2,32.3,24,76,53.2,46.8,30.6,69.4,Kryie Irving,21
2011-12,CLE,51,30.5,75.5,24.5,58.7,15,23.2,16.3,18.1,16.4,43.6,25.3,74.7,53.4,46.6,31.1,68.9,Kryie Irving,21
