By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,LAL,33,34.9,68.3,31.7,58.2,11.4,27.8,18.7,14,15.2,46.8,40.2,59.8,64.4,35.6,46,54,LeBron James,27
2023-24,LAL,71,35.3,71.4,28.6,58.8,5.9,24.5,19.9,16.7,14.5,52.9,43.5,56.5,68.5,31.5,48.9,51.1,LeBron James,27
2022-23,LAL,55,35.5,69.1,30.9,61.4,9.3,22.8,21.6,15.8,12.3,52.1,39.5,60.5,62.8,37.2,44.2,55.8,LeBron James,27
2021-22,LAL,56,37.2,63.3,36.7,56.5,9.2,28.5,15.8,15,14,47.3,40.7,59.3,55.9,44.1,44.5,55.5,LeBron James,27
2020-21,LAL,45,33.4,65.4,34.6,56.5,9.8,27.7,18,15.8,16,46.7,32.7,67.3,51.9,48.1,37.4,62.6,LeBron James,27
2019-20,LAL,67,34.6,67.4,32.6,58.3,8.1,26.1,18.9,15.6,18.1,50.2,23.4,76.6,47.3,52.7,28.9,71.1,LeBron James,27
2018-19,LAL,55,35.2,70.1,29.9,59.4,10,22.1,19.5,18.5,15.2,49.4,34,66,34.2,65.8,34.1,65.9,LeBron James,27
2017-18,CLE,82,36.9,74.3,25.7,62.9,10.4,19.9,15.2,17.2,15,52.5,30.1,69.9,35.6,64.4,31,69,LeBron James,27
2016-17,CLE,74,37.8,74.6,25.4,62.6,9.8,19,20.8,18.4,15.5,52.8,35.5,64.5,49.2,50.8,37.8,62.2,LeBron James,27
2015-16,CLE,76,35.6,80.1,19.9,67.7,12.3,13.6,21.3,18.7,21.2,55.4,37.8,62.2,59.8,40.2,40.4,59.6,LeBron James,27
2014-15,CLE,69,36.1,73.5,26.5,57.8,14.6,20.7,19.2,21.5,19.3,43.3,31.5,68.5,46.7,53.3,34.5,65.5,LeBron James,27
2013-14,MIA,77,37.7,77.4,22.6,62.3,12.1,16.7,22.3,21,22.4,50.3,39.5,60.5,53.4,46.6,41.6,58.4,LeBron James,27
2012-13,MIA,76,37.9,81.2,18.8,65,17.1,15.2,20.1,19.8,22.8,47.9,37.8,62.2,55.3,44.7,40.1,59.9,LeBron James,27
2011-12,MIA,62,37.5,87.3,12.7,67.4,22.3,9.6,21.6,23,22.2,45,36,64,51.9,48.1,37.4,62.6,LeBron James,27
2010-11,MIA,79,38.8,81.2,18.8,63.1,20.6,13.1,21.6,23.8,18.6,42.5,28.4,71.6,60.9,39.1,32.3,67.7,LeBron James,27
2009-10,CLE,76,39.0,74.7,25.3,56.6,16.7,17.1,20.4,26.3,18.6,39.9,36.9,63.1,34.1,65.9,36.5,63.5,LeBron James,27
2008-09,CLE,81,37.7,76.2,23.8,57,16.8,17.2,18.2,25.8,20.5,40.3,31.8,68.2,42.4,57.6,33.6,66.4,LeBron James,27
2007-08,CLE,75,40.4,78.1,21.9,60.5,16.4,15.1,17.3,24.4,16.4,44.1,33.3,66.7,39.8,60.2,34.3,65.7,LeBron James,27
2006-07,CLE,78,40.9,80.9,19.1,63.1,19,13.9,17.4,23,16.7,44.1,32.1,67.9,49.5,50.5,34.3,65.7,LeBron James,27
2005-06,CLE,79,42.5,79.2,20.8,60.4,19.5,15.4,19.7,24.2,16.7,40.8,30.3,69.7,41.7,58.3,32,68,LeBron James,27
2004-05,CLE,80,42.3,81.7,18.3,63.2,20,14.9,20.3,21.9,21.8,43.1,44.5,55.5,50,50,45.3,54.7,LeBron James,27
2003-04,CLE,79,39.6,85.5,14.5,67.6,22.1,11.4,24.5,21,20.7,45.5,44.2,55.8,74.6,25.4,47.3,52.7,LeBron James,27
