By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DET,36,28.2,30.1,69.9,23.7,7.7,69.4,16.5,6.9,14.4,16,66.2,33.8,91,9,82.6,17.4,Malik Beasley,83
2023-24,MIL,79,29.6,24.9,75.1,21.6,4.7,75.6,13.4,2.8,16.4,16.9,68.8,31.3,95.1,4.9,87.2,12.8,Malik Beasley,83
2022-23,TOT,81,25.8,29.8,70.2,26.3,7,68.8,15.1,4.9,14.5,19.3,51.1,48.9,85.5,14.5,73,27,Malik Beasley,83
2022-23,LAL,26,23.9,30.2,69.8,27,2.8,68.5,20.8,4.5,16.3,24.2,53.8,46.2,95.5,4.5,80,20,Malik Beasley,83
2022-23,UTA,55,26.8,29.6,70.4,26.1,8.7,68.9,12.9,5,13.9,17.4,50,50,81.7,18.3,70.2,29.8,Malik Beasley,83
2021-22,MIN,79,25.0,25.1,74.9,19.3,5,75.6,16.6,5.1,18.4,14.3,65.2,34.8,90.4,9.6,83.4,16.6,Malik Beasley,83
2020-21,MIN,37,32.8,46.5,53.5,37.6,7.2,53,15.3,9.4,19.2,30.4,63.2,36.8,87.5,12.5,75,25,Malik Beasley,83
2019-20,TOT,55,22.0,48.3,51.7,39,9.8,52.2,17.9,8.8,19.8,29.3,66.7,33.3,88.8,11.2,77.1,22.9,Malik Beasley,83
2019-20,MIN,14,33.1,50.6,49.4,42.1,6.2,50.7,21.4,7.2,21.7,35.9,68.9,31.1,79.6,20.4,73.6,26.4,Malik Beasley,83
2019-20,DEN,41,18.2,46.5,53.5,36.3,12.9,53.5,14.8,10.2,18.2,23.4,64.4,35.6,96.6,3.4,80.3,19.7,Malik Beasley,83
2018-19,DEN,81,23.2,45,55,40.6,7.9,53.3,20.3,6.1,18.4,32.7,75.8,24.2,98.2,1.8,86.2,13.8,Malik Beasley,83
2017-18,DEN,62,9.4,53.9,46.1,45.9,9.2,42.9,17.3,11.2,25,36.7,71.1,28.9,92.9,7.1,79.5,20.5,Malik Beasley,83
2016-17,DEN,22,7.5,61.6,38.4,57.8,7.2,32.5,38.6,9.7,19.3,50.6,41.7,58.3,100,0,57.6,42.4,Malik Beasley,83
