By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,IND,35,31.3,56.3,43.7,48,9.1,38.6,2.8,13.4,11.2,38.9,80.3,19.7,98.5,1.5,86.7,13.3,Myles Turner,88
2023-24,IND,77,27.0,64.4,35.6,54.8,8.2,26.5,6.7,18.7,8.8,46.6,80,20,99.1,0.9,84.7,15.3,Myles Turner,88
2022-23,IND,62,29.4,66,34,55.5,4.1,25.1,7.3,19.4,10.3,51.4,77.3,22.7,96.8,3.2,81.8,18.2,Myles Turner,88
2021-22,IND,42,29.4,53.4,46.6,51.5,3.3,33.9,7.6,14.6,10.6,48.1,68.3,31.7,100,0,78,22,Myles Turner,88
2020-21,IND,47,31.0,52.3,47.7,46.3,1.7,35,7.3,18.7,14.9,44.6,75.9,24.1,100,0,84,16,Myles Turner,88
2019-20,IND,62,29.4,57.4,42.6,48.6,11.2,34.4,2.8,17,12.8,37.4,70.9,29.1,100,0,80.2,19.8,Myles Turner,88
2018-19,IND,74,28.6,74.9,25.1,61.8,20.5,23.2,6,15,16.6,41.3,78,22,97.4,2.6,81.8,18.2,Myles Turner,88
2017-18,IND,65,28.2,75.4,24.6,60.4,27.3,20.3,4.8,19.3,12.6,33.1,73.6,26.4,98.2,1.8,78.1,21.9,Myles Turner,88
2016-17,IND,81,31.4,86.8,13.2,68.9,24.7,10.2,5.4,20.9,13.7,44.2,81.2,18.8,97.5,2.5,82.7,17.3,Myles Turner,88
2015-16,IND,60,22.8,97.4,2.6,84.3,38.1,1.5,7.4,14.2,13.7,46.2,79.7,20.3,100,0,79.9,20.1,Myles Turner,88
