By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DEN,29,36.9,78.1,21.9,61.3,6.3,21.9,7.5,16.8,9.8,55.1,67.8,32.2,87.7,12.3,71.6,28.4,Nikola Jokic,3
2023-24,DEN,79,34.6,83.6,16.4,70.9,7.1,11.9,3.7,17.2,10.2,63.8,57.2,42.8,80.7,19.3,59.6,40.4,Nikola Jokic,3
2022-23,DEN,69,33.7,85.4,14.6,69.7,5.3,10.1,5.6,20.2,12.4,64.4,60.6,39.4,84.2,15.8,62.7,37.3,Nikola Jokic,3
2021-22,DEN,74,33.5,78,22,66.6,6.8,14.5,6.4,18.9,11.1,59.8,58,42,91.8,8.2,62.3,37.7,Nikola Jokic,3
2020-21,DEN,72,34.6,81.7,18.3,67.4,12.8,14.5,2.9,18.1,12.9,54.7,48.4,51.6,96.7,3.3,54.5,45.5,Nikola Jokic,3
2019-20,DEN,73,32.0,76.2,23.8,66.6,14.3,16.5,2.7,16.9,10.4,52.3,51.1,48.9,85,15,55.9,44.1,Nikola Jokic,3
2018-19,DEN,80,31.3,77.6,22.4,66.5,7.7,15.5,3.1,18,10,58.7,48,52,91.6,8.4,53.9,46.1,Nikola Jokic,3
2017-18,DEN,75,32.6,72.3,27.7,56.8,13,24,4.4,19.2,10.9,43.8,54.5,45.5,89.2,10.8,62.1,37.9,Nikola Jokic,3
2016-17,DEN,73,27.9,83.7,16.3,73.5,13.8,11.1,5.9,15.4,8,59.8,56.6,43.4,93.3,6.7,59.9,40.1,Nikola Jokic,3
2015-16,DEN,80,21.7,86,14,70.1,8.3,10.6,4.8,19.3,12.6,61.8,59.9,40.1,92.9,7.1,62.9,37.1,Nikola Jokic,3
