By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,CHI,35,32.3,67.3,32.7,60.8,6.7,30.5,2.1,8.7,8.2,54.1,77.5,22.5,98.6,1.4,82.8,17.2,Nikola Vucevic,46
2023-24,CHI,76,34.3,74.2,25.8,72.1,14.7,20.1,1.8,7.8,10.9,57.4,74.5,25.5,100,0,78.5,21.5,Nikola Vucevic,46
2022-23,CHI,82,33.5,69.8,30.2,65.8,11.5,25.1,4,9.1,13.8,54.3,73.5,26.5,100,0,78.9,21.1,Nikola Vucevic,46
2021-22,CHI,73,33.1,71.3,28.7,68.6,14.6,24.2,3.9,7.2,12,54,71.3,28.7,100,0,76.7,23.3,Nikola Vucevic,46
2020-21,TOT,70,33.5,68.5,31.5,59.8,20.3,32.2,5.9,8,8.3,39.5,61.6,38.4,99.4,0.6,71.6,28.4,Nikola Vucevic,46
2020-21,CHI,26,32.6,68.9,31.1,61.2,18.6,31.7,7.9,7.1,8.2,42.6,63.2,36.8,98.3,1.7,72.2,27.8,Nikola Vucevic,46
2020-21,ORL,44,34.1,68.3,31.7,59.1,21.1,32.5,4.9,8.4,8.3,38,60.8,39.2,100,0,71.3,28.7,Nikola Vucevic,46
2019-20,ORL,62,32.2,72,28,65,12,24.2,3.6,10.8,10.9,53,71.9,28.1,99,1,77.3,22.7,Nikola Vucevic,46
2018-19,ORL,80,31.4,82.9,17.1,74.1,15.1,15.1,2.8,10.8,12.2,59,66.9,33.1,100,0,70.9,29.1,Nikola Vucevic,46
2017-18,ORL,57,29.5,75.7,24.3,71.4,19.4,20.4,7.7,8.2,14.1,52,67.2,32.8,100,0,72.4,27.6,Nikola Vucevic,46
2016-17,ORL,75,28.8,92.7,7.3,83.9,35.6,6.3,3.6,9.8,12.9,48.4,61.7,38.3,100,0,63.6,36.4,Nikola Vucevic,46
2015-16,ORL,65,31.3,99.1,0.9,89.9,38.3,0.5,3.2,9.6,12,51.7,61,39,50,50,61,39,Nikola Vucevic,46
2014-15,ORL,74,34.2,99.5,0.5,88.1,29.8,0.4,3.6,11.5,12.3,58.3,65.5,34.5,100,0,65.6,34.4,Nikola Vucevic,46
2013-14,ORL,57,31.8,100,0,87.1,27.9,0,2.3,12.9,13.1,59.2,62.6,37.4,0,0,62.6,37.4,Nikola Vucevic,46
2012-13,ORL,77,33.2,99.7,0.3,91.5,26.2,0,2.6,8.5,12.9,65.3,67,33,0,0,67,33,Nikola Vucevic,46
2011-12,PHI,51,15.9,97.3,2.7,90.5,27.6,3.2,4.9,6.3,11.3,62.9,64.8,35.2,100,0,65.6,34.4,Nikola Vucevic,46
