By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,LAC,26,33.3,51.9,48.1,38.7,3.5,46.1,19.8,15.2,19.3,35.2,54.9,45.1,79.4,20.6,65.8,34.2,Norman Powell,23
2023-24,LAC,76,26.2,50,50,39,6.4,47.4,13,13.6,14.8,32.6,68.9,31.1,91.6,8.4,79.1,20.9,Norman Powell,23
2022-23,LAC,60,26.1,59.6,40.4,44.4,5.9,33.6,14.2,22,11.3,38.5,52.7,47.3,87.7,12.3,64.4,35.6,Norman Powell,23
2021-22,TOT,45,32.4,58.2,41.8,40.6,8.9,37.3,16.3,22.1,18.3,31.7,50.9,49.1,87.7,12.3,64.9,35.1,Norman Powell,23
2021-22,LAC,5,25.1,61.9,38.1,35.5,3.7,36.4,15,28.1,12.1,31.8,47.4,52.6,61.5,38.5,53.1,46.9,Norman Powell,23
2021-22,POR,40,33.3,57.7,42.3,41.3,9.7,37.4,16.5,21.3,19.2,31.6,51.3,48.7,91.4,8.6,66.4,33.6,Norman Powell,23
2020-21,TOT,69,32.0,54.7,45.3,41.6,4.8,40,16.2,18.4,16.3,36.8,54.7,45.3,83.6,16.4,66,34,Norman Powell,23
2020-21,POR,27,34.4,58.2,41.8,44.8,5.7,34.6,18.3,20.6,15.9,39.1,53.4,46.6,88.7,11.3,65.4,34.6,Norman Powell,23
2020-21,TOR,42,30.4,52.5,47.5,39.9,4.4,43,15.1,17.1,16.5,35.5,55.5,44.5,81.4,18.6,66.3,33.7,Norman Powell,23
2019-20,TOR,52,28.4,54.3,45.7,45.1,4.1,39.4,23.3,15.5,19.6,41,66.8,33.2,95.4,4.6,77.4,22.6,Norman Powell,23
2018-19,TOR,60,18.8,57.5,42.5,48.4,3.1,39.5,15.9,12.1,16.3,45.3,55.2,44.8,92.6,7.4,68.4,31.6,Norman Powell,23
2017-18,TOR,70,15.2,50.3,49.7,50.4,5.7,41.3,18.7,8.3,21.3,44.7,41.2,58.8,92.5,7.5,59.3,40.7,Norman Powell,23
2016-17,TOR,76,18.0,65.8,34.2,53.8,6.6,26.4,21.4,19.8,18.6,47.2,26.3,73.7,94.6,5.4,43.2,56.8,Norman Powell,23
2015-16,TOR,49,14.8,61.1,38.9,44.7,13.9,39.6,23.8,15.7,19.8,30.8,34.4,65.6,94.4,5.6,56.7,43.3,Norman Powell,23
