By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,NYK,37,36.5,55.1,44.9,51.1,4,37.8,20.7,11.1,20.6,47.1,76.6,23.4,100,0,84.3,15.7,OG Anunoby,78
2023-24,TOT,50,34.0,53.7,46.3,49.1,6,41.7,22.5,9.2,18.3,43.1,68.9,31.1,96.1,3.9,78.7,21.3,OG Anunoby,78
2023-24,NYK,23,34.9,59.4,40.6,51.7,4.3,37.8,19.4,10.5,21.2,47.4,64.3,35.7,97.6,2.4,75.2,24.8,OG Anunoby,78
2023-24,TOR,27,33.3,49.2,50.8,47.1,7.4,44.9,25,8,15.9,39.7,72.9,27.1,95.1,4.9,81.5,18.5,OG Anunoby,78
2022-23,TOR,67,35.6,58.5,41.5,49.6,5.5,37.9,22.6,12.5,23.8,44.1,56.6,43.4,95.8,4.2,69.8,30.2,OG Anunoby,78
2021-22,TOR,48,36.0,54.5,45.5,47.2,7.3,42,15.6,10.8,21.5,39.9,46.4,53.6,87,13,61.5,38.5,OG Anunoby,78
2020-21,TOR,43,33.3,49.7,50.3,42.5,3.5,45.7,14.8,11.8,18.6,39,51,49,97.1,2.9,70.3,29.7,OG Anunoby,78
2019-20,TOR,69,29.9,59.7,40.3,53.8,1.4,36.4,19.1,9.8,25.2,52.4,64,36,95.5,4.5,73.8,26.2,OG Anunoby,78
2018-19,TOR,67,20.2,50,50,49.5,3,42.9,16.4,7.6,17.1,46.5,49.1,50.9,98.5,1.5,67.2,32.8,OG Anunoby,78
2017-18,TOR,74,20.0,43.1,56.9,41.1,0.5,50,14.8,8.9,18.9,40.6,71.1,28.9,94.5,5.5,81.6,18.4,OG Anunoby,78
