By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,IND,37,33.4,69.6,30.4,57.2,11.3,28.5,13.9,14.3,12.7,45.9,54.8,45.2,98.6,1.4,65.7,34.3,Pascal Siakam,49
2023-24,TOT,80,33.2,80.6,19.4,68.6,8.3,14.7,15.3,16.7,11.3,60.3,50.7,49.3,97.6,2.4,56.5,43.5,Pascal Siakam,49
2023-24,IND,41,31.8,84.4,15.6,72.7,9.6,13.4,14.3,13.9,13.1,63.1,48.6,51.4,97.4,2.6,53.9,46.1,Pascal Siakam,49
2023-24,TOR,39,34.7,76.7,23.3,64.5,6.9,16,16.2,19.5,9.5,57.6,53,47,97.8,2.2,59.4,40.6,Pascal Siakam,49
2022-23,TOR,71,37.4,78.1,21.9,62.4,12.7,16.2,15.1,21.4,16.6,49.8,31.7,68.3,86,14,39.7,60.3,Pascal Siakam,49
2021-22,TOR,68,37.9,81.9,18.1,67.2,9.9,14.5,14.8,18.3,18.6,57.3,29.2,70.8,94.7,5.3,37.4,62.6,Pascal Siakam,49
2020-21,TOR,56,35.8,74.4,25.6,60.9,8.2,18.3,10.8,20.8,14.2,52.7,34.1,65.9,83.6,16.4,42.3,57.7,Pascal Siakam,49
2019-20,TOR,60,35.2,66.9,33.1,53.8,7,28.7,18,17.5,17.4,46.8,42.3,57.7,66.4,33.6,48.6,51.4,Pascal Siakam,49
2018-19,TOR,80,31.8,77.4,22.6,65,3.1,17.5,22.3,17.5,18.5,61.9,49.3,50.7,97.5,2.5,56.6,43.4,Pascal Siakam,49
2017-18,TOR,81,20.7,73.5,26.5,76.1,1.4,14.8,23.3,9.1,22.6,74.7,68.8,31.3,100,0,72.3,27.7,Pascal Siakam,49
2016-17,TOR,55,15.6,96.6,3.4,89.1,17.5,1.3,19.2,9.6,23.1,71.6,66.7,33.3,100,0,67,33,Pascal Siakam,49
