By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,PHI,24,32.0,54.1,45.9,45.4,21.1,40.2,8,14.4,20.6,24.2,26.1,73.9,63.5,36.5,40,60,Paul George,80
2023-24,LAC,74,33.8,52.4,47.6,40.6,15.6,43.6,10.5,15.8,13.9,25,44.8,55.2,73.3,26.7,56.7,43.3,Paul George,80
2022-23,LAC,56,34.6,57.6,42.4,45.2,15.3,35.6,10.6,19.2,17.1,29.9,32.2,67.8,61.4,38.6,42.3,57.7,Paul George,80
2021-22,LAC,31,34.8,59.6,40.4,46.9,19.6,36.2,8.5,16.9,13.9,27.3,22,78,48.4,51.6,31,69,Paul George,80
2020-21,LAC,54,33.7,56.3,43.7,43.5,14.1,40.7,8.9,15.8,17.4,29.4,27.7,72.3,67.3,32.7,42.9,57.1,Paul George,80
2019-20,LAC,48,29.6,51.3,48.7,36,11.8,45.6,13,18.4,17.5,24.2,33.9,66.1,65,35,48.1,51.9,Paul George,80
2018-19,OKC,77,36.9,53.1,46.9,38.4,12,40.6,15.9,21,17.4,26.4,31.1,68.9,67.1,32.9,46,54,Paul George,80
2017-18,OKC,79,36.6,54.6,45.4,38.3,11.6,42.2,11.9,19.5,15.4,26.6,35.8,64.2,80.3,19.7,54.7,45.3,Paul George,80
2016-17,IND,75,35.9,63.2,36.8,48.1,26.7,33,11,18.9,17.6,21.4,37.5,62.5,81.5,18.5,51.3,48.7,Paul George,80
2015-16,IND,81,34.8,60.9,39.1,42.2,18.9,33.6,14,24.2,20.1,23.3,31.9,68.1,71,29,45.5,54.5,Paul George,80
2014-15,IND,6,15.2,55.1,44.9,34,18.9,50.9,3.8,15.1,20.8,15.1,33.3,66.7,88.9,11.1,61.1,38.9,Paul George,80
2013-14,IND,80,36.2,63.3,36.7,45.5,19.1,31.4,12.7,23.1,19,26.4,36.5,63.5,77.5,22.5,49.4,50.6,Paul George,80
2012-13,IND,79,37.6,60.1,39.9,46.9,15.3,37,19.8,16.1,19.5,31.7,44,56,83.5,16.5,57.6,42.4,Paul George,80
2011-12,IND,66,29.7,63.4,36.6,47.9,11.3,33.8,22.1,18.3,23.4,36.6,44,56,85.6,14.4,57.3,42.7,Paul George,80
2010-11,IND,61,20.7,65.1,34.9,58,18.1,25.8,25.4,16.2,22.9,39.9,36.2,63.8,85.4,14.6,47.5,52.5,Paul George,80
