By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,GSW,28,31.1,37.7,62.3,28,7.6,57.7,8.4,14.3,14,20.3,40.9,59.1,64.5,35.5,54.5,45.5,Stephen Curry,33
2023-24,GSW,74,32.7,39.4,60.6,30,7.8,54.8,8.8,15.2,13.3,22.2,39.9,60.1,61.1,38.9,51.5,48.5,Stephen Curry,33
2022-23,GSW,56,34.7,43.6,56.4,34.7,7.9,49.7,10.7,15.6,15.3,26.8,37.1,62.9,59.3,40.7,47.9,52.1,Stephen Curry,33
2021-22,GSW,64,34.5,38.7,61.3,30.7,7.2,52.5,12.4,16.8,16,23.4,36.8,63.2,57.2,42.8,47.7,52.3,Stephen Curry,33
2020-21,GSW,63,34.2,41.3,58.7,31.9,6.6,50.2,11.4,17.9,14.5,25.3,41.1,58.9,58.8,41.2,50.2,49.8,Stephen Curry,33
2019-20,GSW,5,27.9,40.2,59.8,40.4,11.5,34.6,16.3,25,8.7,28.8,33.3,66.7,66.7,33.3,45.5,54.5,Stephen Curry,33
2018-19,GSW,69,33.8,39.6,60.4,29.6,9,56.5,16.9,13.9,14.1,20.5,46.4,53.6,68.9,31.1,59,41,Stephen Curry,33
2017-18,GSW,51,32.0,42,58,32.1,11.6,47.3,16.5,20.6,16.3,20.5,41.7,58.3,61.8,38.2,51.6,48.4,Stephen Curry,33
2016-17,GSW,79,33.4,45.3,54.7,35.1,10,48.6,23.9,16.3,17.3,25.1,41.3,58.7,64.2,35.8,52.3,47.7,Stephen Curry,33
2015-16,GSW,79,34.2,44.6,55.4,33.9,7.2,50.8,21.1,15.3,15.8,26.8,37.2,62.8,56,44,46.6,53.4,Stephen Curry,33
2014-15,GSW,80,32.7,51.8,48.2,38.6,12.3,45.2,25.8,16.2,18.7,26.3,33.2,66.8,58.7,41.3,44.4,55.6,Stephen Curry,33
2013-14,GSW,78,36.5,55.5,44.5,41.8,21.2,41.8,20.2,16.4,16.3,20.5,19.7,80.3,45.6,54.4,30.1,69.9,Stephen Curry,33
2012-13,GSW,78,38.2,56.8,43.2,39.6,22.7,45.7,20.4,14.7,14.5,16.9,25.1,74.9,61.4,38.6,40.9,59.1,Stephen Curry,33
2011-12,GSW,26,28.1,59.1,40.9,47,32.9,43.1,14.4,9.9,19.3,14.1,33.3,66.7,78.2,21.8,50.3,49.7,Stephen Curry,33
2010-11,GSW,74,33.6,67.5,32.5,51.6,26.9,33,21.8,15.4,20,24.6,25.7,74.3,80.1,19.9,42,58,Stephen Curry,33
2009-10,GSW,80,36.2,66.8,33.2,51.8,27.2,35.6,23.5,12.6,20.2,24.6,30.7,69.3,74.1,25.9,44.3,55.7,Stephen Curry,33
