By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,CHI,31,33.6,55,45,43.6,10.9,42.7,21.2,13.7,15.8,32.7,47.4,52.6,56.9,43.1,51.2,48.8,Zach LaVine,29
2023-24,CHI,25,34.9,55.1,44.9,45.6,12.3,36.3,17.5,18.1,16,33.3,39.6,60.4,52.5,47.5,44.1,55.9,Zach LaVine,29
2022-23,CHI,77,35.9,60.8,39.2,49,12.1,32,15.7,19,17,36.9,33.5,66.5,64.7,35.3,42.9,57.1,Zach LaVine,29
2021-22,CHI,67,34.7,59.9,40.1,46.5,12.4,33.9,12.5,19.6,17.2,34.1,35,65,56.8,43.2,42.1,57.9,Zach LaVine,29
2020-21,CHI,58,35.1,57.5,42.5,46.4,9.7,37.7,12.5,15.9,14,36.7,35.5,64.5,51.5,48.5,41.1,58.9,Zach LaVine,29
2019-20,CHI,60,34.8,59.6,40.4,46.4,6.8,36.1,13.9,17.5,17.8,39.6,40.6,59.4,54.9,45.1,45.5,54.5,Zach LaVine,29
2018-19,CHI,63,34.5,71.7,28.3,55,9.8,24.1,13.9,20.9,16.2,45.2,33.2,66.8,52.5,47.5,37.5,62.5,Zach LaVine,29
2017-18,CHI,24,27.3,65.4,34.6,46.9,9,31.4,15,21.7,15,37.9,30.9,69.1,47.6,52.4,36,64,Zach LaVine,29
2016-17,MIN,47,37.2,56.3,43.7,46.3,14.6,40.5,20.7,13.2,21.9,31.7,46.6,53.4,81.7,18.3,59.5,40.5,Zach LaVine,29
2015-16,MIN,82,28.0,67,33,53.9,17,32.1,23.7,14,18.3,36.9,41.6,58.4,74,26,50.8,49.2,Zach LaVine,29
2014-15,MIN,77,24.7,75.3,24.7,58.9,21.6,22,28.3,19.1,19.4,37.3,34.9,65.1,78.9,21.1,43.7,56.3,Zach LaVine,29
