By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,GSW,32,928,21.8,23.6,23.3,23.0,22.0,30.4,27.2,19.2,13.5,15.0,13.5,13.3,17.9,25.7,28.8,15.0,23.1,24.4,Andrew Wiggins,76
2023-24,GSW,71,1920,20.6,20.5,21.6,14.7,16.4,24.1,25.4,23.7,15.8,17.8,10.4,14.9,17.5,22.9,23.9,18.8,22.6,20.2,Andrew Wiggins,76
2022-23,GSW,37,1190,21.2,22.7,23.4,20.3,20.5,12.9,16.3,25.5,14.7,17.1,10.8,13.2,24.2,27.2,24.1,19.0,18.9,21.2,Andrew Wiggins,76
2021-22,GSW,73,2330,22.4,24.3,24.0,22.6,21.1,19.4,23.2,16.7,13.7,14.4,12.4,15.5,18.1,22.5,21.8,15.5,24.4,23.3,Andrew Wiggins,76
2020-21,GSW,71,2364,22.9,25.0,24.5,20.1,20.0,21.3,23.5,20.0,15.3,16.2,12.6,16.8,16.9,31.4,20.2,15.5,22.3,23.8,Andrew Wiggins,76
2019-20,TOT,54,1859,26.9,28.5,28.4,22.8,22.7,25.0,27.3,15.7,16.0,15.9,20.9,22.5,15.0,22.9,28.6,15.6,25.4,27.2,Andrew Wiggins,76
2019-20,GSW,12,403,24.3,25.7,25.8,22.5,20.6,25.0,28.9,20.0,13.8,15.3,18.5,19.4,28.1,37.8,33.3,14.9,28.9,25.3,Andrew Wiggins,76
2019-20,MIN,42,1455,27.6,29.2,29.1,22.9,23.2,25.0,26.8,14.5,16.5,16.0,21.6,23.4,11.9,19.4,27.6,15.8,24.5,27.7,Andrew Wiggins,76
2018-19,MIN,73,2543,24.0,22.6,25.3,21.9,23.9,20.7,22.8,14.1,14.9,14.7,14.4,19.7,17.0,18.2,28.8,14.1,19.7,22.2,Andrew Wiggins,76
2017-18,MIN,82,2979,22.8,22.2,24.2,23.4,25.3,16.7,20.6,12.3,14.0,13.6,11.5,18.3,17.3,18.2,21.2,15.2,18.9,21.3,Andrew Wiggins,76
2016-17,MIN,82,3048,28.6,28.0,29.4,21.8,22.2,32.1,33.7,14.1,11.5,12.2,12.3,21.3,16.9,10.6,31.1,15.1,29.8,28.4,Andrew Wiggins,76
2015-16,MIN,81,2845,26.7,26.2,26.8,18.6,21.0,33.1,34.3,17.5,10.0,11.8,11.6,21.1,16.1,15.8,29.4,14.4,30.6,27.3,Andrew Wiggins,76
2014-15,MIN,82,2969,22.3,22.1,22.1,13.4,14.2,29.3,30.1,18.2,13.5,14.9,13.0,19.4,16.9,20.0,19.8,16.4,29.5,23.1,Andrew Wiggins,76
