By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,PHX,25,828,22.9,25.8,25.1,23.1,22.3,14.3,14.9,12.9,12.6,12.6,17.6,20.3,21.7,18.8,18.3,20.9,15.7,23.7,Bradley Beal,66
2023-24,PHX,53,1767,22.4,23.5,23.2,21.4,19.9,18.4,18.1,15.4,14.6,14.8,25.6,23.9,18.4,14.1,22.2,20.0,15.9,22.5,Bradley Beal,66
2022-23,WAS,50,1673,28.8,29.8,29.4,20.9,21.1,30.4,29.1,12.7,13.1,13.0,29.8,31.1,19.8,17.3,21.4,16.3,25.2,29.1,Bradley Beal,66
2021-22,WAS,40,1439,29.7,28.9,29.9,22.1,23.8,34.3,32.7,13.8,14.1,14.0,36.5,31.8,18.8,9.6,26.0,16.8,28.8,29.1,Bradley Beal,66
2020-21,WAS,60,2147,33.1,33.8,34.4,29.4,30.2,41.3,36.7,16.2,13.6,14.2,22.5,28.8,19.9,11.9,28.2,14.1,32.4,34.8,Bradley Beal,66
2019-20,WAS,57,2053,33.8,32.8,33.7,32.3,34.2,44.3,42.3,11.9,14.2,13.6,31.8,32.5,21.8,13.3,23.7,13.2,36.0,34.7,Bradley Beal,66
2018-19,WAS,82,3028,27.8,28.4,28.4,28.3,27.9,32.1,30.4,14.7,15.8,15.5,27.0,25.5,23.0,20.7,23.4,17.7,27.6,29.0,Bradley Beal,66
2017-18,WAS,82,2977,26.8,27.4,28.2,31.8,32.6,29.3,28.7,10.4,14.7,13.7,24.1,24.0,19.3,12.8,22.3,12.9,25.4,28.1,Bradley Beal,66
2016-17,WAS,77,2684,25.8,26.9,27.1,40.5,38.6,28.2,26.9,9.2,10.3,10.1,19.1,20.8,16.8,9.6,23.0,15.1,25.8,28.3,Bradley Beal,66
2015-16,WAS,55,1708,24.5,25.3,26.3,33.4,32.1,22.8,22.1,12.2,12.8,12.7,18.9,20.2,17.9,7.9,18.6,16.0,19.3,25.6,Bradley Beal,66
2014-15,WAS,63,2107,22.2,21.2,23.8,35.9,34.8,19.1,18.0,13.4,12.6,12.8,17.9,19.0,22.6,9.2,26.6,15.5,17.5,21.9,Bradley Beal,66
2013-14,WAS,73,2530,24.0,23.5,26.0,34.2,32.9,21.4,19.6,9.7,13.4,12.5,19.7,17.6,17.4,7.9,19.4,14.6,18.2,24.0,Bradley Beal,66
2012-13,WAS,56,1745,21.8,21.8,23.2,36.8,35.3,23.4,21.8,10.7,14.2,13.3,16.7,16.0,19.6,16.5,27.8,15.8,15.8,23.2,Bradley Beal,66
