By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,NOP,23,776,27.1,29.4,29.7,38.9,35.8,20.7,21.8,9.2,14.4,12.9,22.3,17.2,14.3,10.4,24.1,17.5,21.9,29.2,CJ McCollum,36
2023-24,NOP,66,2159,24.4,24.9,26.7,42.1,37.8,15.7,14.8,9.0,16.4,14.7,24.8,19.5,17.3,19.2,17.2,15.9,14.4,25.5,CJ McCollum,36
2022-23,NOP,75,2649,26.0,24.9,27.7,35.2,33.8,18.7,19.1,9.4,15.1,13.7,30.3,24.2,17.2,16.3,24.3,13.7,16.6,24.9,CJ McCollum,36
2021-22,TOT,62,2145,26.9,28.8,29.3,32.7,30.1,16.6,18.5,10.6,14.4,13.5,29.9,21.7,19.7,12.0,26.4,13.9,18.6,27.5,CJ McCollum,36
2021-22,NOP,26,878,28.5,30.5,30.5,38.6,33.8,20.6,23.9,8.4,16.1,14.0,33.3,23.9,20.2,1.6,32.9,12.1,22.0,29.7,CJ McCollum,36
2021-22,POR,36,1267,25.8,27.5,28.5,29.8,28.2,13.0,13.8,12.5,13.3,13.1,27.3,20.1,19.3,17.2,22.4,15.2,16.0,25.9,CJ McCollum,36
2020-21,POR,47,1600,26.5,28.5,28.9,31.5,31.1,18.2,18.3,8.7,13.9,12.7,28.3,18.4,17.5,12.7,18.6,14.3,17.9,27.4,CJ McCollum,36
2019-20,POR,70,2557,25.7,26.7,27.9,28.0,28.6,15.7,16.8,8.6,13.5,12.4,27.6,19.5,16.2,12.8,23.0,16.1,13.6,25.3,CJ McCollum,36
2018-19,POR,70,2375,24.8,26.8,27.5,30.6,29.6,16.1,15.9,10.1,12.2,11.7,17.9,16.1,15.6,11.0,24.7,16.6,16.1,25.3,CJ McCollum,36
2017-18,POR,81,2924,25.9,27.6,28.2,30.9,28.1,21.2,20.2,8.5,12.6,11.7,22.5,19.2,17.3,10.8,32.3,14.2,18.3,26.9,CJ McCollum,36
2016-17,POR,80,2796,26.8,29.8,28.8,31.6,28.2,25.0,21.8,10.2,11.8,11.5,23.1,22.4,18.1,13.6,24.8,16.4,20.4,29.1,CJ McCollum,36
2015-16,POR,80,2780,26.6,28.4,28.5,31.2,28.4,19.2,17.6,7.0,10.9,9.9,28.0,24.3,23.3,8.2,28.3,15.1,18.8,27.2,CJ McCollum,36
2014-15,POR,62,973,19.8,20.6,21.0,27.1,24.6,18.5,21.4,6.8,10.6,9.7,15.0,17.0,33.1,9.3,31.6,20.4,16.9,20.9,CJ McCollum,36
2013-14,POR,38,476,20.1,19.6,20.4,38.0,33.6,14.3,16.3,5.5,12.8,10.7,12.6,24.0,25.5,5.6,28.9,22.4,13.8,20.2,CJ McCollum,36
