By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,MIL,24,871,27.7,25.1,27.2,31.4,32.8,45.0,37.2,10.4,14.8,14.0,43.2,28.3,22.7,4.4,28.4,13.3,33.8,29.2,Damian Lillard,14
2023-24,MIL,73,2578,27.4,23.2,26.9,27.6,29.6,43.4,37.1,7.3,14.7,13.2,36.1,28.4,20.7,6.4,37.4,13.7,33.0,27.1,Damian Lillard,14
2022-23,POR,58,2107,33.1,30.7,32.3,38.9,39.2,51.7,46.6,10.8,16.7,15.4,39.1,31.6,17.4,8.9,27.2,12.5,42.3,35.6,Damian Lillard,14
2021-22,POR,29,1056,28.8,25.1,28.9,30.8,33.7,38.7,35.2,6.0,14.1,12.3,40.8,27.5,10.5,10.2,26.5,8.9,33.4,28.1,Damian Lillard,14
2020-21,POR,67,2398,30.6,28.5,29.1,33.2,33.2,47.5,43.4,6.2,14.9,12.8,45.4,36.3,17.4,7.0,29.8,11.1,43.1,32.1,Damian Lillard,14
2019-20,POR,66,2474,29.4,28.3,28.7,39.0,36.8,46.7,43.3,6.4,13.9,12.2,48.5,29.5,21.9,6.7,33.1,10.5,38.3,32.5,Damian Lillard,14
2018-19,POR,80,2838,28.1,27.0,28.4,37.5,35.6,37.1,33.6,9.2,14.2,12.9,41.0,27.5,21.0,10.6,28.3,12.5,31.0,29.8,Damian Lillard,14
2017-18,POR,73,2670,29.5,28.0,29.0,37.3,38.3,47.9,42.6,11.1,13.3,12.8,42.8,28.3,19.2,8.9,30.1,11.0,35.9,32.3,Damian Lillard,14
2016-17,POR,75,2693,30.4,29.4,30.5,37.0,36.4,45.1,39.2,7.4,17.6,15.0,36.7,26.8,17.4,7.2,32.6,12.9,36.9,32.8,Damian Lillard,14
2015-16,POR,75,2676,30.4,28.5,30.8,35.9,36.6,39.8,33.7,7.1,13.8,12.1,42.5,30.1,17.3,10.7,30.7,13.7,34.2,31.2,Damian Lillard,14
2014-15,POR,82,2925,26.2,24.9,26.0,33.3,34.9,33.9,32.0,7.2,15.8,13.7,38.6,27.3,24.3,7.7,29.6,15.4,30.9,27.2,Damian Lillard,14
2013-14,POR,82,2937,24.4,23.1,24.6,36.2,34.8,29.8,28.3,4.7,12.2,10.2,32.3,24.3,19.8,7.5,37.6,17.9,25.4,25.6,Damian Lillard,14
2012-13,POR,82,3167,23.7,22.6,23.9,31.6,31.7,25.4,23.3,6.0,10.8,9.6,36.5,25.8,17.7,6.4,27.3,14.5,22.8,23.9,Damian Lillard,14
