By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,SAC,32,1132,23.5,24.2,24.0,8.8,9.7,34.8,33.1,7.5,13.3,11.9,19.7,17.8,20.9,12.9,21.1,14.8,27.1,24.4,Demar Derozan,43
2023-24,CHI,79,2989,25.2,25.3,24.8,10.7,11.6,48.1,45.1,6.6,15.0,12.9,27.8,18.9,19.5,15.4,25.9,14.2,37.1,27.4,Demar Derozan,43
2022-23,CHI,74,2682,27.2,27.9,27.3,8.5,9.3,45.8,43.0,7.9,16.7,15.0,28.3,21.9,19.0,15.3,25.1,17.5,38.1,29.1,Demar Derozan,43
2021-22,CHI,76,2743,30.8,32.1,30.8,8.4,9.1,49.2,46.5,11.2,17.6,16.2,28.5,27.1,16.9,10.7,30.9,16.3,41.1,32.7,Demar Derozan,43
2020-21,SAS,61,2056,25.5,25.0,23.9,4.7,6.5,48.2,44.9,10.1,15.2,14.1,40.1,26.3,20.1,7.8,27.3,16.5,40.7,27.1,Demar Derozan,43
2019-20,SAS,68,2316,26.2,27.7,24.7,1.8,2.6,42.5,41.1,10.9,20.1,18.3,32.5,28.5,20.6,7.8,31.1,18.9,35.3,27.7,Demar Derozan,43
2018-19,SAS,77,2688,27.7,26.9,26.8,1.4,3.6,39.5,39.2,10.9,20.9,18.9,36.1,30.7,24.6,14.1,42.8,17.5,35.3,26.8,Demar Derozan,43
2017-18,TOR,80,2712,28.6,27.5,28.4,14.0,16.1,42.2,41.2,10.4,13.0,12.4,31.1,24.5,22.0,6.7,29.3,12.6,33.5,28.7,Demar Derozan,43
2016-17,TOR,74,2620,33.7,33.7,33.8,7.6,10.3,47.4,45.6,12.5,17.8,16.5,29.4,26.3,18.9,5.2,38.9,12.2,37.0,34.4,Demar Derozan,43
2015-16,TOR,78,2804,29.1,28.8,29.2,10.0,11.0,43.5,40.3,10.8,14.7,13.8,29.7,22.9,18.4,7.0,30.5,14.2,33.9,30.5,Demar Derozan,43
2014-15,TOR,60,2100,28.2,25.3,27.8,7.3,9.3,41.1,39.6,9.5,17.4,15.5,24.1,24.2,22.6,5.3,30.1,13.5,33.5,27.0,Demar Derozan,43
2013-14,TOR,79,3017,27.8,26.7,27.9,12.8,15.5,42.8,40.4,7.2,15.2,13.1,24.1,20.6,21.0,10.2,21.8,13.9,32.3,28.7,Demar Derozan,43
2012-13,TOR,82,3013,23.8,24.4,24.5,8.7,10.4,31.8,30.2,7.6,14.6,12.8,15.2,17.4,16.9,8.2,26.7,12.7,26.5,24.7,Demar Derozan,43
2011-12,TOR,63,2206,25.0,23.8,25.4,10.2,13.3,35.1,33.6,8.7,12.1,11.3,12.9,19.0,16.3,8.1,32.7,15.3,29.1,25.1,Demar Derozan,43
2010-11,TOR,82,2851,23.0,23.7,23.6,2.2,7.2,30.2,28.3,11.1,14.4,13.4,11.3,17.1,20.4,12.4,27.4,16.9,26.3,24.1,Demar Derozan,43
2009-10,TOR,77,1664,18.0,18.7,18.2,2.3,3.4,24.4,23.9,20.0,14.9,16.1,6.9,14.0,22.9,12.7,25.6,23.8,22.1,18.9,Demar Derozan,43
