By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,TOT,34,1079,22.1,21.0,22.5,21.1,22.0,24.5,22.5,4.4,12.3,10.3,35.0,25.2,20.9,5.0,28.5,18.0,24.1,21.6,Dennis Smith Jr.,85
2024-25,GSW,11,307,19.7,15.7,19.7,16.5,20.3,21.4,21.2,7.4,9.8,9.1,31.5,22.7,14.0,2.5,34.9,26.8,21.7,16.6,Dennis Smith Jr.,85
2024-25,BKN,23,772,23.1,22.9,23.7,22.7,22.7,25.4,22.9,2.7,13.3,10.9,36.4,26.3,23.6,6.6,25.5,15.6,25.0,23.3,Dennis Smith Jr.,85
2023-24,TOT,80,2486,20.2,18.8,20.5,22.1,21.5,21.2,18.6,7.2,12.1,10.9,34.0,22.6,18.3,7.1,24.4,17.8,19.1,19.5,Dennis Smith Jr.,85
2023-24,BKN,29,927,22.0,21.1,22.3,23.5,21.1,18.3,17.0,8.4,13.8,12.5,36.7,26.3,14.0,9.8,26.8,18.4,19.5,21.0,Dennis Smith Jr.,85
2023-24,TOR,51,1559,19.1,17.6,19.5,21.1,21.7,22.6,19.4,6.4,11.0,9.9,32.6,20.2,20.6,5.4,23.1,17.5,18.8,18.7,Dennis Smith Jr.,85
2022-23,LAL,66,1986,18.3,15.5,18.1,16.2,18.0,23.9,22.0,5.4,9.8,8.8,28.1,19.9,20.2,6.0,22.1,19.7,20.5,17.1,Dennis Smith Jr.,85
2021-22,TOT,64,1837,22.3,21.2,22.0,19.7,19.1,24.4,23.0,9.3,14.4,13.3,33.7,27.8,18.9,3.8,27.4,20.9,24.4,21.6,Dennis Smith Jr.,85
2021-22,HOU,15,404,20.4,16.8,19.1,18.8,18.8,24.5,21.2,8.2,16.6,14.8,41.5,31.5,18.2,7.7,20.9,21.5,17.6,18.2,Dennis Smith Jr.,85
2021-22,BOS,49,1433,22.9,22.5,22.9,20.0,19.2,24.4,23.5,9.6,13.8,12.9,31.2,26.6,19.2,2.9,29.4,20.7,26.4,22.5,Dennis Smith Jr.,85
2020-21,LAL,61,1956,22.7,19.9,21.9,15.5,16.8,29.5,27.1,8.2,13.1,12.1,34.3,27.2,22.8,6.2,40.0,20.7,27.3,20.9,Dennis Smith Jr.,85
2019-20,OKC,65,1999,26.2,27.8,27.6,29.8,27.0,22.0,20.8,5.7,15.0,13.2,29.2,28.3,14.4,6.0,28.6,17.8,20.9,26.8,Dennis Smith Jr.,85
2018-19,OKC,79,2314,23.8,22.8,24.9,22.8,23.4,20.1,17.6,6.4,14.7,12.5,30.1,26.0,15.0,4.9,32.8,17.7,19.4,22.3,Dennis Smith Jr.,85
2017-18,ATL,67,2078,29.9,29.7,30.9,16.3,20.3,33.3,31.3,11.3,12.1,11.9,41.2,27.6,19.6,2.9,44.7,17.2,30.9,28.9,Dennis Smith Jr.,85
2016-17,ATL,79,2485,27.2,27.2,27.8,22.7,23.3,23.9,20.2,7.9,11.8,10.8,40.4,31.5,16.7,6.5,39.2,16.1,20.8,26.3,Dennis Smith Jr.,85
2015-16,ATL,80,1621,28.6,25.7,28.1,22.6,24.9,28.1,27.5,9.4,16.5,15.1,41.1,37.2,22.6,4.7,42.6,21.1,29.1,25.8,Dennis Smith Jr.,85
2014-15,ATL,77,1516,26.7,25.1,26.4,16.7,17.7,30.4,28.3,10.7,13.8,13.1,41.9,32.1,20.6,3.2,44.3,22.2,28.6,25.1,Dennis Smith Jr.,85
2013-14,ATL,49,641,18.8,16.0,18.2,10.4,13.9,12.7,14.7,5.3,14.1,12.4,30.5,29.3,19.5,0.0,28.3,21.1,20.8,15.0,Dennis Smith Jr.,85
