By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,BOS,35,1202,19.7,19.7,20.4,26.9,25.5,15.0,14.5,13.0,14.6,14.3,23.1,20.3,18.4,29.5,19.3,18.4,17.5,20.2,Derrick White,71
2023-24,BOS,73,2381,18.3,17.7,18.9,24.0,24.2,16.3,14.8,10.9,14.6,13.8,27.8,19.8,22.4,25.5,15.6,19.4,17.5,18.3,Derrick White,71
2022-23,BOS,82,2319,17.4,17.2,17.9,18.8,18.9,20.5,19.1,11.7,13.9,13.5,24.4,15.8,18.9,29.6,19.4,20.1,22.1,17.9,Derrick White,71
2021-22,TOT,75,2199,19.6,17.5,19.5,20.9,24.0,28.4,25.2,8.0,14.1,12.7,29.0,20.3,18.9,23.0,13.4,20.7,29.1,19.4,Derrick White,71
2021-22,BOS,26,713,18.2,15.5,18.4,15.4,19.4,22.6,21.6,10.0,14.9,13.9,23.5,17.5,14.9,18.4,14.5,19.6,25.8,16.6,Derrick White,71
2021-22,SAS,49,1486,20.2,18.5,20.0,24.7,26.8,32.2,27.3,7.2,13.7,12.1,31.5,21.6,20.7,25.5,12.8,21.3,30.9,20.8,Derrick White,71
2020-21,SAS,36,1064,22.3,19.8,23.1,40.2,39.6,23.8,21.9,6.1,12.8,11.3,22.8,19.1,16.1,26.5,26.1,23.4,26.5,22.1,Derrick White,71
2019-20,SAS,68,1677,18.3,17.5,17.9,22.6,21.2,24.1,22.9,11.1,15.0,14.2,28.5,20.4,18.4,30.3,18.1,22.6,27.3,19.2,Derrick White,71
2018-19,SAS,67,1728,17.8,16.9,17.5,15.4,18.5,16.5,17.5,11.4,16.5,15.5,29.0,22.8,30.0,25.3,22.4,22.9,20.1,16.7,Derrick White,71
2017-18,SAS,17,139,14.6,14.8,13.5,28.6,15.7,26.4,27.4,16.1,19.8,19.0,14.5,13.6,13.8,16.7,16.7,16.0,22.6,18.2,Derrick White,71
