By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,PHX,27,981,27.8,25.4,28.1,22.8,25.8,49.4,44.0,17.1,10.1,11.6,30.8,21.8,19.7,9.7,31.3,15.3,38.6,28.7,Devin Booker,17
2023-24,PHX,68,2447,28.9,28.9,29.5,22.8,24.8,41.4,37.9,11.2,14.6,13.8,33.1,24.9,16.5,9.8,24.5,22.4,35.0,30.2,Devin Booker,17
2022-23,PHX,53,1835,31.1,31.1,31.0,23.3,25.8,45.3,42.6,10.8,16.1,14.7,27.8,30.2,19.2,8.9,33.3,19.4,38.1,32.4,Devin Booker,17
2021-22,PHX,68,2345,31.3,29.9,32.2,32.2,31.7,38.4,35.8,10.0,17.1,15.6,23.9,27.6,18.6,12.7,34.7,18.8,35.4,31.3,Devin Booker,17
2020-21,PHX,67,2270,31.9,30.1,31.3,21.2,24.4,43.1,41.7,8.0,15.8,14.1,23.3,35.4,16.0,7.5,29.5,20.0,39.5,31.0,Devin Booker,17
2019-20,PHX,70,2512,29.4,28.3,27.9,23.0,24.0,42.2,39.2,5.8,15.3,13.2,31.3,35.4,12.9,8.5,24.3,18.4,36.8,30.3,Devin Booker,17
2018-19,PHX,64,2242,32.0,30.7,30.9,28.5,29.8,45.3,42.0,9.0,15.6,14.1,38.6,36.5,14.1,5.9,31.0,18.7,39.7,32.9,Devin Booker,17
2017-18,PHX,54,1865,30.1,29.5,30.7,42.1,37.9,39.9,34.4,6.2,16.4,14.0,30.4,29.6,17.3,7.7,26.5,17.9,34.4,32.4,Devin Booker,17
2016-17,PHX,78,2731,28.0,26.5,28.6,33.3,31.2,29.9,28.3,6.9,10.8,9.8,23.8,26.9,15.9,7.7,30.0,17.6,27.9,27.7,Devin Booker,17
2015-16,PHX,76,2108,22.8,23.0,23.4,25.1,25.3,26.9,24.3,5.5,10.9,9.6,21.9,21.3,14.2,11.9,24.5,22.0,25.4,23.9,Devin Booker,17
