By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,SAC,34,1221,21.6,25.0,20.4,12.6,9.5,24.0,25.6,48.3,40.6,42.4,30.8,29.2,11.2,16.5,30.8,24.4,29.4,23.6,Domantas Sabonis,41
2023-24,SAC,82,2928,22.0,24.0,19.4,3.8,3.7,32.3,34.3,46.2,41.3,42.5,38.0,34.6,15.5,21.6,30.6,21.5,34.0,22.6,Domantas Sabonis,41
2022-23,SAC,79,2736,21.3,23.0,18.8,3.9,3.9,29.6,31.3,47.2,39.2,41.0,35.8,31.1,16.7,25.0,27.2,26.1,32.2,21.9,Domantas Sabonis,41
2021-22,TOT,62,2136,22.1,24.7,20.0,7.5,8.1,34.0,35.4,43.7,36.2,38.0,29.2,29.8,19.3,13.2,23.6,24.6,36.9,24.2,Domantas Sabonis,41
2021-22,SAC,15,504,24.0,25.9,22.5,3.4,5.1,25.3,27.1,48.4,38.0,40.1,32.1,32.9,19.4,15.2,24.3,30.0,29.8,23.5,Domantas Sabonis,41
2021-22,IND,47,1632,21.5,24.3,19.2,8.7,9.0,37.7,38.9,42.5,35.7,37.3,28.2,28.8,19.2,12.8,23.4,23.0,39.6,24.4,Domantas Sabonis,41
2020-21,IND,62,2231,23.9,24.8,21.9,9.1,10.2,33.1,35.6,39.3,38.2,38.4,33.1,32.8,19.2,13.3,22.5,23.4,36.6,24.2,Domantas Sabonis,41
2019-20,IND,62,2159,22.9,24.1,21.5,3.9,5.7,31.7,35.1,46.1,38.3,40.0,26.6,29.2,14.4,14.9,27.9,22.8,35.9,23.4,Domantas Sabonis,41
2018-19,IND,74,1838,22.6,26.0,20.9,2.7,1.8,33.2,34.2,47.3,38.2,40.3,21.3,30.4,14.7,21.4,17.3,30.1,36.1,25.2,Domantas Sabonis,41
2017-18,IND,74,1810,21.4,22.2,20.4,4.1,4.2,30.0,31.1,42.7,33.1,35.4,17.9,26.0,12.5,25.0,24.9,29.5,30.3,21.8,Domantas Sabonis,41
2016-17,OKC,81,1631,15.6,14.5,16.5,17.7,18.8,8.3,9.2,12.9,20.8,18.9,11.3,16.2,14.0,19.6,16.3,29.5,10.9,13.8,Domantas Sabonis,41
