By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,MIL,25,875,36.1,42.0,34.0,1.6,2.8,52.4,59.7,34.2,38.2,37.5,32.6,34.3,13.3,36.4,44.2,17.2,54.5,39.0,Giannis A,1
2023-24,MIL,73,2567,32.0,35.6,29.0,4.5,6.1,48.2,54.6,38.4,34.3,35.2,32.3,37.4,23.9,28.5,40.0,20.7,54.3,34.0,Giannis A,1
2022-23,MIL,63,2024,37.3,38.2,33.8,7.9,10.5,61.9,67.7,29.0,37.7,35.7,32.3,41.6,18.7,25.1,51.6,24.5,62.0,38.4,Giannis A,1
2021-22,MIL,67,2204,34.0,35.0,30.8,11.0,13.9,59.9,63.1,31.8,36.6,35.7,33.0,36.3,20.2,46.7,33.7,24.7,58.1,36.4,Giannis A,1
2020-21,MIL,61,2013,32.0,33.1,29.0,11.5,14.3,54.0,58.2,24.3,35.7,33.4,32.7,35.9,21.8,34.6,34.6,23.9,55.1,33.6,Giannis A,1
2019-20,MIL,63,1917,36.3,38.8,34.0,16.2,18.7,51.3,57.7,36.9,40.9,40.2,33.9,39.9,20.7,25.0,40.1,25.1,54.1,38.3,Giannis A,1
2018-19,MIL,72,2358,31.4,33.3,28.1,8.3,11.1,52.0,55.0,37.3,37.4,37.4,33.0,40.2,24.2,32.9,40.7,24.3,51.2,33.7,Giannis A,1
2017-18,MIL,75,2756,30.7,32.7,29.7,8.5,10.1,44.9,46.0,32.4,32.4,32.4,27.3,28.5,21.7,32.0,34.3,19.1,43.4,32.9,Giannis A,1
2016-17,MIL,80,2845,28.0,28.9,26.1,9.4,12.8,44.6,44.4,26.8,30.1,29.4,30.9,29.2,26.6,44.5,24.8,20.4,41.0,29.9,Giannis A,1
2015-16,MIL,80,2823,22.1,22.5,21.1,9.8,12.9,28.1,29.0,18.6,27.5,25.2,25.6,24.0,19.3,32.1,19.5,21.4,28.4,22.9,Giannis A,1
2014-15,MIL,81,2541,19.3,19.7,18.5,2.2,5.1,28.5,29.2,17.4,27.3,24.7,17.3,19.5,14.7,32.4,26.2,22.7,26.9,20.2,Giannis A,1
2013-14,MIL,77,1897,14.8,12.2,13.2,16.7,16.7,17.9,19.4,16.7,22.9,21.1,18.0,21.0,22.1,28.2,14.1,20.8,18.9,13.6,Giannis A,1
