By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,LAC,36,1159,18.6,24.7,19.3,0.0,0.0,14.1,21.1,54.1,38.9,42.6,14.6,16.0,9.9,41.2,23.5,17.3,27.5,20.4,Ivica Zubac,89
2023-24,LAC,68,1794,16.5,21.4,16.2,0.0,0.0,18.8,21.8,51.7,33.6,37.7,9.5,15.3,7.7,47.4,26.5,30.1,20.5,18.7,Ivica Zubac,89
2022-23,LAC,76,2169,14.9,17.4,13.4,0.0,0.1,23.2,26.0,54.9,33.5,38.2,7.2,18.1,9.8,50.5,26.7,27.0,26.8,16.3,Ivica Zubac,89
2021-22,LAC,76,1852,16.8,20.1,14.7,0.0,0.0,30.1,33.2,61.3,32.1,38.2,13.7,21.8,13.8,47.0,29.9,30.7,30.3,19.1,Ivica Zubac,89
2020-21,LAC,72,1608,14.7,18.4,13.6,0.2,0.4,24.2,25.3,54.9,27.0,33.2,11.4,16.8,11.7,51.7,31.1,28.6,26.3,17.1,Ivica Zubac,89
2019-20,LAC,72,1326,16.3,20.7,15.4,0.0,0.2,24.2,26.5,60.2,33.4,39.8,12.5,16.6,7.1,47.1,27.5,28.8,21.6,18.9,Ivica Zubac,89
2018-19,TOT,59,1039,19.9,23.7,20.0,0.0,0.0,25.6,24.0,53.5,30.2,35.0,11.1,20.1,8.9,49.0,36.4,29.3,23.3,21.8,Ivica Zubac,89
2018-19,LAC,26,523,19.8,22.6,19.5,0.0,0.0,20.6,22.3,57.5,34.1,38.9,13.1,22.2,11.5,46.2,36.5,27.0,20.0,19.8,Ivica Zubac,89
2018-19,LAL,33,516,20.1,24.9,20.5,0.0,0.0,31.7,25.8,49.5,26.3,31.2,8.9,18.2,5.6,51.9,36.4,31.7,26.7,23.9,Ivica Zubac,89
2017-18,LAL,43,410,17.2,18.9,16.3,0.0,0.4,30.7,30.2,48.9,23.3,28.8,13.2,19.1,13.3,34.9,24.0,30.1,26.9,18.5,Ivica Zubac,89
2016-17,LAL,38,609,20.1,24.8,21.4,0.0,1.0,13.4,16.3,34.5,28.6,29.9,10.9,17.2,13.5,51.6,34.3,27.4,21.4,21.1,Ivica Zubac,89
