By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,TOR,31,990,18.4,22.9,18.1,0.0,0.3,21.2,23.0,47.7,31.0,35.3,13.4,19.9,22.1,42.1,19.2,24.7,24.0,20.4,Jakob Poeltl,87
2023-24,TOR,50,1319,16.0,20.4,15.3,0.0,0.0,13.9,18.3,48.0,30.9,35.1,15.4,21.2,16.7,53.1,24.8,33.1,19.9,17.7,Jakob Poeltl,87
2022-23,TOT,72,1906,18.0,22.4,16.9,0.0,0.1,19.3,24.7,46.7,34.3,38.0,17.8,22.7,19.7,50.9,17.8,27.0,26.7,20.0,Jakob Poeltl,87
2022-23,TOR,26,707,17.2,23.0,17.0,0.0,0.0,16.6,22.5,43.8,33.9,36.9,13.6,17.3,19.2,54.0,20.3,28.4,23.8,20.1,Jakob Poeltl,87
2022-23,SAS,46,1199,18.4,22.0,16.9,0.0,0.1,21.1,26.1,48.6,34.6,38.7,20.4,25.1,20.1,49.1,16.5,26.2,28.4,20.0,Jakob Poeltl,87
2021-22,SAS,68,1970,18.2,22.1,17.3,0.2,0.1,16.6,24.3,54.1,27.4,34.4,15.7,23.1,14.7,55.4,21.4,29.1,25.6,19.3,Jakob Poeltl,87
2020-21,SAS,69,1845,13.0,15.9,12.4,0.0,0.0,10.6,15.9,56.0,24.3,31.5,14.0,19.6,17.2,61.2,15.2,26.1,17.2,13.8,Jakob Poeltl,87
2019-20,SAS,66,1171,12.5,15.2,11.9,0.0,0.0,9.0,15.3,51.8,28.0,33.3,17.9,18.6,19.7,57.2,21.6,27.9,19.1,12.9,Jakob Poeltl,87
2018-19,SAS,77,1273,12.5,16.6,12.1,0.0,0.0,12.5,18.1,62.0,24.7,33.4,14.0,15.1,17.7,54.4,17.9,28.8,18.2,14.4,Jakob Poeltl,87
2017-18,TOR,82,1524,14.3,19.2,13.8,0.3,0.2,12.3,15.9,51.2,22.5,29.4,7.4,20.1,14.8,52.9,21.5,28.8,19.0,16.2,Jakob Poeltl,87
2016-17,TOR,54,626,11.7,14.3,10.6,0.0,0.0,14.1,19.1,50.3,21.3,29.3,5.3,16.3,13.7,38.5,13.6,39.2,17.6,13.0,Jakob Poeltl,87
