By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,LAC,34,1151,29.7,22.3,26.6,31.0,32.9,50.8,45.7,8.1,23.1,19.5,46.1,40.8,22.4,21.2,28.3,16.1,35.7,28.0,James Harden,34
2023-24,LAC,72,2470,20.2,16.2,18.8,27.8,28.1,29.7,28.5,7.0,20.1,17.1,45.4,28.3,19.1,22.1,19.5,14.0,24.0,19.8,James Harden,34
2022-23,PHI,58,2135,24.7,20.9,23.2,27.4,28.1,32.3,31.8,11.0,22.1,19.9,54.5,34.4,22.7,14.5,27.5,13.0,30.1,23.8,James Harden,34
2021-22,TOT,65,2420,26.6,19.7,23.0,25.0,27.6,45.7,43.4,11.9,25.7,22.8,51.4,41.9,21.8,13.4,37.5,15.4,36.9,24.9,James Harden,34
2021-22,PHI,21,792,24.2,17.5,21.1,20.7,25.0,39.7,37.6,9.7,24.1,21.3,51.3,36.4,19.5,6.1,35.1,15.2,34.6,22.6,James Harden,34
2021-22,BKN,44,1627,27.7,20.7,23.9,27.6,28.9,49.8,47.3,12.8,26.4,23.4,51.5,44.2,23.0,16.6,38.6,15.5,38.1,26.0,James Harden,34
2020-21,TOT,44,1609,28.3,24.1,25.7,26.0,27.9,44.6,41.3,12.4,27.5,24.5,54.5,39.3,24.9,19.9,28.5,15.9,36.1,27.6,James Harden,34
2020-21,BKN,36,1319,28.2,24.0,25.6,25.1,27.0,43.8,41.1,12.7,29.3,26.0,54.1,39.6,26.9,20.5,28.1,16.7,36.8,27.2,James Harden,34
2020-21,HOU,8,290,28.9,24.9,26.4,30.1,31.7,48.2,42.3,10.6,18.5,16.9,56.5,38.2,16.7,17.6,29.7,12.1,32.8,29.3,James Harden,34
2019-20,HOU,68,2483,35.6,32.5,33.0,36.8,36.1,62.3,57.7,13.2,20.9,19.1,46.4,41.2,27.8,21.6,34.8,20.3,47.5,38.5,James Harden,34
2018-19,HOU,78,2867,39.6,36.2,37.4,39.5,38.7,62.7,56.9,10.7,24.4,21.0,48.2,48.0,30.9,20.1,41.2,19.1,47.2,41.3,James Harden,34
2017-18,HOU,72,2551,35.3,31.7,33.1,33.7,33.8,53.0,48.9,8.7,19.3,17.1,54.6,42.6,26.8,19.4,40.8,16.7,44.0,36.1,James Harden,34
2016-17,HOU,81,2947,33.3,27.3,28.9,28.9,29.8,55.3,50.6,14.4,27.6,24.4,58.3,50.2,24.3,15.4,29.5,18.3,39.5,32.7,James Harden,34
2015-16,HOU,82,3125,31.9,29.1,30.1,32.8,32.1,51.6,42.9,8.6,21.4,18.1,42.7,36.8,21.5,15.2,29.0,16.1,37.3,34.0,James Harden,34
2014-15,HOU,81,2981,30.8,28.0,28.6,28.5,27.2,56.7,48.8,10.1,19.8,17.1,41.6,32.1,25.9,21.1,32.3,15.3,41.0,33.5,James Harden,34
2013-14,HOU,73,2777,27.0,24.7,25.9,33.8,32.2,42.0,34.9,9.2,14.4,13.1,36.6,29.6,26.4,8.8,19.3,15.1,29.9,29.2,James Harden,34
2012-13,HOU,78,2985,28.5,24.8,26.2,28.4,27.8,52.9,47.6,9.2,15.8,14.2,32.7,29.1,28.1,14.8,27.7,14.5,41.3,30.6,James Harden,34
2011-12,OKC,62,1946,21.3,20.4,20.0,33.6,31.9,32.8,31.2,6.7,17.7,14.8,29.5,22.0,20.7,5.4,24.8,17.3,29.9,24.2,James Harden,34
2010-11,OKC,82,2189,19.3,18.7,19.5,34.5,35.6,24.7,24.0,8.9,15.1,13.6,20.1,17.1,26.2,10.0,23.1,19.0,24.0,21.3,James Harden,34
2009-10,OKC,76,1738,19.9,18.1,20.3,45.4,43.0,22.9,22.6,10.4,17.6,15.5,20.7,18.9,27.6,8.4,25.0,23.2,22.8,20.8,James Harden,34
