By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,POR,29,948,19.5,18.4,20.6,28.5,25.6,26.7,25.8,6.0,14.5,12.0,15.3,13.1,15.9,22.8,20.2,17.2,20.8,20.9,Jerami Grant,91
2023-24,POR,54,1830,25.5,25.8,25.7,26.7,24.0,38.8,38.7,9.1,13.7,12.5,17.8,20.9,16.4,19.3,27.6,15.5,30.7,28.0,Jerami Grant,91
2022-23,POR,63,2246,22.7,23.0,23.4,23.0,21.7,28.1,28.1,13.0,15.5,14.9,13.0,17.7,17.4,25.9,27.6,16.4,27.1,23.9,Jerami Grant,91
2021-22,DET,47,1500,25.3,25.9,25.4,26.5,24.4,41.2,39.4,7.7,15.9,13.7,16.1,19.8,21.6,31.2,18.6,15.6,32.6,28.5,Jerami Grant,91
2020-21,DET,54,1829,27.8,27.6,28.6,26.1,26.1,38.3,35.2,9.6,17.1,15.4,16.5,20.3,12.3,29.4,26.5,16.7,31.1,29.4,Jerami Grant,91
2019-20,DEN,71,1892,17.7,18.9,18.7,22.3,21.5,22.5,23.0,15.8,15.0,15.1,8.4,11.7,17.5,29.2,19.3,18.6,22.2,19.8,Jerami Grant,91
2018-19,OKC,80,2612,15.0,17.3,16.1,18.2,16.6,16.3,16.1,13.5,16.5,15.7,5.9,8.8,12.1,37.6,23.0,18.4,17.4,17.3,Jerami Grant,91
2017-18,OKC,81,1647,16.1,19.2,15.9,8.2,9.9,25.4,27.6,25.1,21.3,22.2,8.4,11.5,11.1,37.0,24.7,21.1,28.7,19.1,Jerami Grant,91
2016-17,TOT,80,1531,12.2,12.7,12.2,16.1,14.2,14.3,16.7,11.0,15.7,14.5,7.4,9.6,14.5,41.8,14.6,21.4,14.9,13.3,Jerami Grant,91
2016-17,OKC,78,1490,11.8,12.5,11.8,16.3,14.1,14.0,16.2,11.2,15.6,14.5,7.6,9.2,14.8,41.7,13.7,21.3,14.6,13.1,Jerami Grant,91
2016-17,PHI,2,41,25.3,21.4,24.6,0.0,16.7,25.0,33.3,0.0,19.4,15.8,0.0,21.4,0.0,44.4,66.7,26.3,25.0,21.1,Jerami Grant,91
2015-16,PHI,77,2066,17.9,16.5,17.0,8.8,12.8,31.8,32.9,24.9,18.8,20.2,14.7,15.6,15.9,43.1,28.7,22.7,32.9,18.2,Jerami Grant,91
2014-15,PHI,65,1377,16.2,13.0,15.2,20.9,20.7,21.3,24.9,14.3,16.5,15.9,14.3,16.3,15.7,32.1,21.3,21.4,22.9,15.3,Jerami Grant,91
