By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,MIA,22,678,20.3,22.6,19.0,5.7,5.8,43.1,42.9,34.9,15.1,19.8,26.5,16.0,24.1,16.0,28.2,10.7,39.3,23.9,Jimmy Butler,69
2023-24,MIA,60,2042,23.5,23.2,22.1,11.1,10.2,46.8,45.6,27.0,15.3,17.9,27.0,19.9,23.7,11.3,32.6,9.2,38.3,26.0,Jimmy Butler,69
2022-23,MIA,64,2138,24.8,27.1,23.6,7.3,7.3,50.2,49.6,31.1,17.9,21.3,32.7,17.8,31.5,16.2,31.0,10.2,39.3,29.5,Jimmy Butler,69
2021-22,MIA,57,1931,26.0,25.2,24.7,5.7,9.1,48.5,45.9,25.8,17.6,19.4,31.3,21.7,29.7,23.7,26.5,10.6,36.5,27.4,Jimmy Butler,69
2020-21,MIA,52,1745,25.9,25.5,24.1,5.9,8.4,52.0,48.8,31.8,21.3,23.3,38.3,23.6,34.5,12.7,29.8,10.6,42.7,28.0,Jimmy Butler,69
2019-20,MIA,58,1959,24.6,21.8,22.5,6.1,9.3,47.3,45.2,31.0,19.3,21.5,34.0,23.0,32.3,18.8,26.0,10.8,41.8,25.3,Jimmy Butler,69
2018-19,TOT,65,2185,21.8,22.1,22.5,13.9,14.6,32.7,30.8,23.3,13.6,15.9,22.1,14.2,34.2,17.3,22.6,12.8,28.0,23.3,Jimmy Butler,69
2018-19,PHI,55,1824,21.7,21.5,22.4,12.7,13.7,32.3,29.7,24.4,13.2,15.8,21.7,14.5,34.7,16.3,24.7,12.8,27.3,22.7,Jimmy Butler,69
2018-19,MIN,10,361,22.4,25.4,22.9,19.5,18.7,35.0,37.4,17.8,16.0,16.5,24.4,13.1,32.0,20.8,15.9,12.7,31.6,26.4,Jimmy Butler,69
2017-18,MIN,59,2164,24.5,23.7,24.2,19.7,20.1,39.8,37.7,16.7,16.4,16.5,27.4,19.7,28.2,11.9,23.1,10.2,31.9,26.4,Jimmy Butler,69
2016-17,CHI,76,2809,26.1,24.9,24.6,21.6,20.2,52.8,50.0,18.0,17.0,17.3,31.2,20.7,30.6,10.7,22.1,11.4,45.0,29.7,Jimmy Butler,69
2015-16,CHI,67,2474,24.2,24.2,23.5,17.1,19.3,42.7,40.5,14.2,15.8,15.4,28.7,19.1,32.6,13.6,20.4,13.9,37.2,27.0,Jimmy Butler,69
2014-15,CHI,65,2513,21.3,22.1,21.2,18.9,17.9,35.3,33.1,18.3,15.1,15.9,18.7,13.2,34.2,10.9,21.1,12.3,29.7,24.6,Jimmy Butler,69
2013-14,CHI,67,2590,16.7,14.8,16.2,20.3,25.3,26.1,26.8,14.2,14.1,14.1,14.2,13.5,31.1,12.5,15.5,10.7,24.4,17.4,Jimmy Butler,69
2012-13,CHI,82,2134,14.4,15.5,14.4,14.5,13.7,24.3,23.1,24.7,14.3,17.4,11.8,10.4,23.5,13.6,20.3,10.9,19.8,17.0,Jimmy Butler,69
2011-12,CHI,42,359,14.3,12.2,12.9,4.4,7.6,31.6,28.9,17.7,13.2,14.7,8.9,16.1,19.3,8.6,27.7,15.3,23.4,15.4,Jimmy Butler,69
