By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,UTA,22,562,27.4,27.0,28.7,27.9,27.5,33.0,31.0,9.7,16.3,14.5,31.7,24.7,20.7,14.9,31.3,14.3,28.1,28.2,Jordan Clarkson,82
2023-24,UTA,55,1682,25.5,23.1,26.0,21.0,24.3,26.2,24.3,11.3,12.3,12.0,29.4,27.7,16.3,3.1,23.0,12.3,19.8,23.4,Jordan Clarkson,82
2022-23,UTA,61,1988,27.3,26.2,28.3,26.4,28.6,24.9,24.3,15.0,12.9,13.4,25.2,29.0,13.1,6.6,26.1,14.1,21.5,26.0,Jordan Clarkson,82
2021-22,UTA,79,2141,25.8,25.7,28.6,30.2,33.5,17.7,16.3,12.6,13.0,12.9,20.5,20.9,20.2,7.2,20.3,17.4,17.5,25.0,Jordan Clarkson,82
2020-21,UTA,68,1818,28.6,28.9,31.7,32.8,36.0,20.7,18.6,11.3,16.3,15.1,19.3,21.5,23.7,5.2,26.4,15.0,18.2,28.3,Jordan Clarkson,82
2019-20,TOT,71,1705,25.4,27.3,27.8,32.5,31.2,24.1,22.1,13.8,11.2,11.8,17.5,19.6,20.1,12.4,27.4,16.0,18.7,27.5,Jordan Clarkson,82
2019-20,UTA,42,1039,25.6,27.0,28.0,31.6,31.2,18.5,18.3,13.1,11.7,12.0,13.9,20.4,22.3,10.3,29.4,18.1,15.4,26.4,Jordan Clarkson,82
2019-20,CLE,29,666,25.0,27.8,27.4,33.9,31.3,32.1,27.5,14.9,10.4,11.4,23.1,18.4,17.2,15.7,25.0,12.6,23.3,29.2,Jordan Clarkson,82
2018-19,CLE,81,2214,26.6,29.3,29.4,29.3,31.5,20.3,19.1,16.6,12.9,13.9,20.4,21.2,18.2,10.7,21.7,11.5,18.4,27.8,Jordan Clarkson,82
2017-18,TOT,81,1887,25.3,27.2,27.9,30.3,29.2,23.3,20.8,13.7,12.0,12.4,25.8,21.3,19.2,3.7,26.4,12.8,19.2,26.9,Jordan Clarkson,82
2017-18,CLE,28,632,23.2,25.0,25.0,29.5,26.4,22.2,20.4,11.1,10.3,10.4,17.3,20.0,21.1,5.4,28.3,17.0,18.8,25.1,Jordan Clarkson,82
2017-18,LAL,53,1256,26.4,28.3,29.3,30.8,30.9,23.8,21.1,14.7,12.9,13.3,29.9,21.8,18.4,2.8,25.7,10.9,19.4,27.8,Jordan Clarkson,82
2016-17,LAL,82,2397,22.8,24.3,24.7,29.8,29.6,14.8,14.2,8.7,12.5,11.5,21.6,21.2,21.3,3.9,20.6,14.4,15.1,23.1,Jordan Clarkson,82
2015-16,LAL,79,2552,22.5,25.6,24.3,28.0,25.8,15.6,15.4,16.6,12.9,13.8,21.0,18.9,23.6,3.3,28.8,15.7,17.7,23.7,Jordan Clarkson,82
2014-15,LAL,59,1476,23.0,24.0,23.2,20.8,22.7,26.0,22.9,15.9,14.2,14.6,33.6,25.3,24.8,9.9,25.7,17.6,24.4,24.1,Jordan Clarkson,82
