By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,NYK,36,1358,14.5,15.7,13.9,13.4,13.5,16.6,16.3,24.5,27.5,26.8,25.9,19.7,24.5,13.5,14.5,18.8,15.9,15.6,Josh Hart,96
2023-24,NYK,81,2707,13.3,12.7,13.6,10.8,12.7,9.5,9.4,16.9,30.0,26.2,24.1,16.1,17.9,9.7,18.2,17.8,11.3,12.0,Josh Hart,96
2022-23,TOT,76,2454,12.4,12.7,11.9,8.6,8.9,12.7,13.4,26.1,27.1,26.8,22.7,16.3,25.3,9.7,17.3,18.9,14.9,12.3,Josh Hart,96
2022-23,NYK,25,750,12.3,13.4,11.6,12.6,9.2,14.1,13.2,24.4,24.4,24.4,24.3,17.8,27.0,17.4,20.3,18.9,17.1,13.4,Josh Hart,96
2022-23,POR,51,1704,12.4,12.5,12.1,6.9,8.8,12.2,13.5,27.1,28.3,28.0,22.0,15.6,24.3,6.1,16.0,18.9,14.0,11.7,Josh Hart,96
2021-22,TOT,54,1791,18.4,19.6,17.6,17.8,17.5,24.0,24.8,15.2,26.0,23.4,24.2,21.2,21.0,10.2,20.0,19.9,22.7,20.1,Josh Hart,96
2021-22,POR,13,417,23.5,26.1,23.6,33.3,29.2,28.8,27.5,9.3,21.6,18.5,27.2,25.0,21.9,5.7,23.4,15.8,24.6,27.3,Josh Hart,96
2021-22,NOP,41,1374,16.8,17.5,15.7,13.3,13.9,22.5,23.9,17.0,27.3,24.8,23.3,20.0,20.7,11.8,18.9,21.4,22.1,17.9,Josh Hart,96
2020-21,NOP,47,1350,13.3,13.1,14.3,20.3,21.7,12.2,11.9,17.8,32.2,28.9,15.4,11.3,18.2,11.1,15.7,19.8,10.8,13.6,Josh Hart,96
2019-20,NOP,65,1755,15.0,14.9,16.1,23.4,25.1,13.8,13.4,14.8,28.2,24.9,11.3,12.6,23.2,14.5,14.1,20.0,13.5,15.8,Josh Hart,96
2018-19,LAL,67,1715,13.0,12.7,14.3,23.4,23.6,9.3,9.4,9.7,15.8,14.5,10.8,10.4,23.5,20.9,15.3,19.7,11.4,13.3,Josh Hart,96
2017-18,LAL,63,1461,13.3,14.3,14.2,24.1,22.1,14.3,14.4,12.8,20.9,19.0,10.8,9.9,21.6,13.0,14.1,16.4,12.8,15.3,Josh Hart,96
