By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,MIN,36,1189,25.5,25.0,24.2,16.9,17.8,37.9,36.7,27.8,21.7,23.1,26.7,28.9,12.4,6.1,32.2,21.0,29.9,25.9,Julius Randle,47
2023-24,NYK,46,1630,28.7,27.3,27.6,16.2,20.1,35.6,35.7,23.3,28.6,27.2,27.5,33.7,9.9,9.0,36.6,20.6,30.9,27.4,Julius Randle,47
2022-23,NYK,77,2737,28.8,27.7,28.6,30.7,32.0,35.3,35.3,20.0,33.4,29.7,25.1,30.5,14.2,9.8,24.5,20.4,30.8,29.3,Julius Randle,47
2021-22,NYK,72,2544,27.9,25.8,27.1,16.9,19.8,32.9,31.7,20.1,32.3,29.2,32.8,34.2,15.9,14.6,26.3,20.0,31.0,25.8,Julius Randle,47
2020-21,NYK,71,2667,28.5,27.5,27.8,25.0,24.3,38.5,37.0,16.1,32.4,29.0,35.5,32.4,17.0,6.9,23.0,20.1,36.0,28.9,Julius Randle,47
2019-20,NYK,64,2080,27.1,26.9,26.3,16.3,19.8,34.8,32.9,28.4,31.6,30.8,20.9,31.2,15.1,11.6,27.8,18.9,31.1,27.3,Julius Randle,47
2018-19,NOP,73,2232,27.3,28.2,25.8,15.0,15.0,39.3,41.1,31.0,28.6,29.2,18.5,29.9,15.0,19.2,34.3,24.1,35.7,29.0,Julius Randle,47
2017-18,LAL,82,2190,25.1,27.5,23.3,2.2,3.6,37.1,37.4,40.7,29.2,31.6,19.5,30.0,14.2,21.7,41.3,27.9,35.5,26.8,Julius Randle,47
2016-17,LAL,74,2132,21.2,21.8,19.9,3.9,5.1,28.1,29.3,29.9,33.7,32.7,27.0,25.2,15.5,22.0,31.8,26.6,25.1,21.1,Julius Randle,47
2015-16,LAL,81,2286,20.9,21.7,20.6,2.7,3.2,21.1,23.3,33.1,43.5,40.8,17.4,22.9,16.3,15.1,30.6,25.2,23.3,20.1,Julius Randle,47
2014-15,LAL,1,14,17.2,33.3,16.7,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.1,14.3,13.3,Julius Randle,47
