By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,NYK,32,1096,26.6,27.9,25.9,23.0,20.5,39.9,38.7,43.2,45.2,44.8,15.6,28.7,16.1,35.4,29.5,29.5,35.7,29.0,Karl-Anthony Towns,15
2023-24,MIN,62,2026,26.8,27.1,26.8,25.5,24.5,33.0,30.0,25.3,29.4,28.6,16.6,29.1,14.7,18.2,34.9,25.5,30.6,27.9,Karl-Anthony Towns,15
2022-23,MIN,29,957,25.0,25.4,24.6,24.6,24.4,32.4,28.6,24.1,27.0,26.4,26.2,26.5,14.4,16.3,23.2,25.8,31.8,26.4,Karl-Anthony Towns,15
2021-22,MIN,74,2475,27.2,29.7,26.1,18.9,17.1,38.6,36.8,33.4,31.2,31.8,20.2,31.1,16.4,31.2,37.7,24.3,37.7,29.7,Karl-Anthony Towns,15
2020-21,MIN,50,1689,28.6,29.0,27.8,24.2,23.2,39.8,37.1,36.8,34.3,34.9,23.4,32.4,13.2,33.5,29.1,25.7,38.8,30.1,Karl-Anthony Towns,15
2019-20,MIN,35,1187,27.8,30.2,27.8,32.5,27.6,34.6,33.7,36.8,33.5,34.3,24.4,30.4,16.7,34.1,26.9,22.9,34.1,31.3,Karl-Anthony Towns,15
2018-19,MIN,77,2545,28.0,30.8,27.3,26.1,23.1,35.9,34.2,41.0,39.0,39.6,19.3,32.8,15.7,43.9,25.2,27.8,37.0,31.3,Karl-Anthony Towns,15
2017-18,MIN,82,2918,22.5,25.2,22.6,23.9,20.9,29.1,27.5,37.2,39.7,39.1,13.9,21.3,13.0,43.1,23.8,26.6,29.3,25.8,Karl-Anthony Towns,15
2016-17,MIN,82,3030,27.1,31.7,27.9,21.4,21.1,29.3,28.1,41.6,36.5,37.9,14.1,24.2,11.6,36.0,28.3,20.2,29.5,30.5,Karl-Anthony Towns,15
2015-16,MIN,82,2626,24.3,29.6,25.9,11.1,10.8,18.8,18.5,41.6,36.7,37.9,12.2,23.0,13.2,51.5,26.4,22.5,20.8,26.5,Karl-Anthony Towns,15
