By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,PHX,22,793,31.0,32.1,30.7,23.5,22.7,42.6,41.6,9.1,23.5,20.9,19.0,30.3,13.8,32.6,22.1,12.7,39.0,32.8,Kevin Durant,8
2023-24,PHX,75,2791,28.3,29.7,28.7,22.6,21.8,33.2,31.7,7.2,22.9,19.4,23.2,27.9,15.8,27.7,18.8,13.2,31.8,29.5,Kevin Durant,8
2022-23,TOT,47,1672,30.5,31.9,29.7,22.1,21.9,50.7,44.8,6.9,25.2,22.0,24.9,32.1,14.5,26.7,20.7,14.0,41.5,33.7,Kevin Durant,8
2022-23,PHX,8,269,27.3,30.8,27.5,33.3,24.4,36.0,35.0,6.1,24.5,20.8,18.3,27.4,5.6,27.8,25.0,6.6,31.6,32.0,Kevin Durant,8
2022-23,BKN,39,1403,31.1,32.1,30.1,20.1,21.5,54.0,47.0,7.0,25.4,22.3,26.2,32.9,16.2,26.5,20.0,15.3,43.7,34.1,Kevin Durant,8
2021-22,BKN,55,2047,31.0,31.1,30.2,23.6,23.2,46.3,42.1,8.0,24.9,21.7,29.7,31.3,15.5,22.0,19.8,13.6,38.2,32.8,Kevin Durant,8
2020-21,BKN,35,1157,30.3,29.5,28.9,23.8,22.7,44.2,41.5,7.1,26.1,22.8,28.1,35.9,16.7,30.4,22.7,15.9,38.6,31.1,Kevin Durant,8
2018-19,GSW,78,2702,28.3,28.3,27.6,17.7,19.8,43.0,40.2,6.6,22.4,19.3,26.8,28.8,13.3,22.5,20.7,13.2,33.9,29.4,Kevin Durant,8
2017-18,GSW,68,2325,29.3,29.5,29.4,29.0,27.9,41.1,38.5,7.6,25.6,22.1,25.2,27.3,13.3,33.7,21.2,14.1,35.2,31.2,Kevin Durant,8
2016-17,GSW,62,2070,27.1,28.6,27.3,21.8,22.8,39.6,37.0,10.9,30.3,26.7,22.1,22.7,16.1,34.6,17.0,14.6,32.3,29.7,Kevin Durant,8
2015-16,OKC,72,2578,29.8,30.8,29.9,41.2,37.5,39.2,35.1,6.7,27.6,22.3,27.4,29.9,17.7,24.9,16.7,13.0,29.9,33.1,Kevin Durant,8
2014-15,OKC,27,913,28.0,31.6,28.3,40.8,34.0,37.2,34.1,6.9,23.7,19.5,25.0,25.9,15.7,20.7,9.8,9.8,33.3,33.3,Kevin Durant,8
2013-14,OKC,81,3122,32.2,33.1,31.5,36.9,33.5,50.0,46.6,8.5,24.2,20.5,31.0,28.4,19.7,14.0,18.0,12.3,39.3,36.7,Kevin Durant,8
2012-13,OKC,81,3119,29.5,29.4,28.1,30.2,27.6,45.3,42.0,6.9,27.5,22.6,26.9,28.8,22.4,19.8,19.0,11.4,38.7,32.9,Kevin Durant,8
2011-12,OKC,66,2546,30.3,32.2,30.6,37.7,34.7,37.2,35.2,6.5,27.6,22.2,24.1,28.7,23.6,16.5,15.8,12.6,30.8,33.6,Kevin Durant,8
2010-11,OKC,78,3038,29.6,29.7,30.2,44.2,40.8,37.9,35.9,8.0,23.8,19.7,16.6,25.0,17.9,19.2,18.0,11.7,30.5,32.4,Kevin Durant,8
2009-10,OKC,82,3239,31.1,30.9,30.4,36.7,34.0,48.7,44.2,13.6,24.1,21.3,16.6,28.5,20.4,21.8,22.0,12.3,36.9,35.1,Kevin Durant,8
2008-09,OKC,74,2885,27.7,30.4,28.3,38.6,32.1,38.2,34.8,10.4,22.4,19.0,16.9,23.2,22.6,19.9,24.3,11.2,28.8,32.4,Kevin Durant,8
2007-08,SEA,80,2768,27.3,26.8,27.6,28.6,32.7,37.6,33.8,10.0,15.1,13.7,15.4,25.1,20.7,27.1,26.2,10.5,27.8,28.9,Kevin Durant,8
