By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,DAL,32,890,21.1,19.8,23.4,37.7,36.7,11.0,9.3,8.8,14.2,12.8,12.7,18.1,20.1,11.7,10.1,11.8,7.3,20.7,Klay Thompson,97
2023-24,GSW,77,2284,23.4,23.5,26.0,36.9,36.9,17.4,14.8,6.4,13.8,11.9,12.4,17.1,16.1,17.2,11.6,14.1,11.0,24.4,Klay Thompson,97
2022-23,GSW,69,2279,25.6,25.9,28.8,38.2,35.9,16.3,14.6,7.6,15.1,13.3,10.9,16.7,15.1,15.1,17.8,12.9,11.1,26.4,Klay Thompson,97
2021-22,GSW,32,941,28.4,29.9,32.8,41.0,39.3,15.6,13.7,7.6,15.6,13.9,16.1,15.8,10.3,20.7,16.7,13.3,11.7,29.4,Klay Thompson,97
2018-19,GSW,78,2652,25.4,26.7,28.7,33.1,32.4,15.0,14.9,7.9,13.3,12.3,10.9,14.7,19.8,13.5,19.4,13.5,15.9,25.9,Klay Thompson,97
2017-18,GSW,73,2504,23.2,25.2,26.5,37.4,34.2,10.3,10.1,7.3,13.2,12.1,11.2,15.5,13.1,9.0,16.0,11.6,13.1,24.5,Klay Thompson,97
2016-17,GSW,78,2649,25.8,26.6,28.7,38.3,36.7,19.2,18.2,10.1,12.2,11.8,9.1,16.2,12.3,11.2,20.4,12.9,15.0,26.8,Klay Thompson,97
2015-16,GSW,80,2666,26.0,27.0,28.9,34.1,34.7,21.3,18.8,7.2,13.2,12.0,9.9,16.4,13.1,14.3,20.6,13.7,15.2,27.1,Klay Thompson,97
2014-15,GSW,77,2455,27.2,27.1,28.8,38.0,35.5,28.4,25.6,5.3,12.2,10.7,15.2,20.6,18.3,18.9,28.4,12.4,21.2,28.5,Klay Thompson,97
2013-14,GSW,81,2868,22.4,23.0,24.7,38.3,36.7,15.5,15.0,5.8,10.1,9.1,12.4,15.4,16.2,12.9,20.0,18.4,15.2,23.3,Klay Thompson,97
2012-13,GSW,82,2936,21.6,21.5,23.5,38.9,40.2,13.5,12.7,4.9,13.1,11.2,12.8,17.5,20.5,17.6,12.9,18.3,13.5,21.8,Klay Thompson,97
2011-12,GSW,66,1608,24.3,25.3,26.1,39.2,37.6,17.4,15.0,7.9,14.2,12.7,17.8,23.5,18.5,11.0,18.5,20.7,15.0,25.4,Klay Thompson,97
