By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,BOS,14,390,24.5,25.1,24.9,19.8,20.4,44.1,40.1,29.4,23.6,24.9,11.5,14.1,18.0,41.3,33.3,30.8,41.4,27.1,Kristaps Porzingis,65
2023-24,BOS,57,1690,24.7,24.9,24.0,21.2,21.5,40.1,38.2,30.8,23.8,25.1,12.2,21.1,19.3,42.2,16.1,28.5,42.0,26.7,Kristaps Porzingis,65
2022-23,WAS,65,2120,27.2,26.7,26.8,26.4,25.5,45.1,43.3,30.2,27.7,28.2,14.5,22.6,21.0,43.7,28.4,24.0,45.8,29.5,Kristaps Porzingis,65
2021-22,TOT,51,1481,28.6,28.3,28.6,21.4,23.6,51.8,46.7,36.6,28.5,30.1,14.7,23.1,20.3,56.4,27.4,24.8,39.1,30.9,Kristaps Porzingis,65
2021-22,WAS,17,479,31.2,29.3,30.3,25.2,24.9,59.8,54.5,48.1,31.8,34.8,17.5,25.7,22.2,55.6,34.4,28.2,48.7,33.5,Kristaps Porzingis,65
2021-22,DAL,34,1002,27.4,27.8,27.9,19.7,23.0,47.4,42.6,32.0,26.8,27.9,13.2,21.9,19.5,56.7,24.3,23.2,34.4,29.6,Kristaps Porzingis,65
2020-21,DAL,43,1327,25.9,27.9,27.8,23.8,23.2,27.5,26.3,33.1,31.5,31.8,10.4,15.7,13.9,46.8,30.2,22.9,28.8,27.3,Kristaps Porzingis,65
2019-20,DAL,57,1814,26.3,25.6,27.5,23.8,25.1,30.1,29.7,26.6,31.2,30.2,10.8,19.4,16.9,56.1,22.0,26.2,27.0,26.1,Kristaps Porzingis,65
2017-18,NYK,48,1553,30.5,30.1,31.7,33.8,31.4,40.9,41.4,18.3,22.4,21.4,7.7,20.4,17.5,57.5,27.4,23.3,42.2,32.1,Kristaps Porzingis,65
2016-17,NYK,66,2164,24.0,24.9,25.1,28.5,28.5,26.5,26.9,22.9,23.9,23.6,9.5,18.6,14.9,49.2,16.4,26.9,26.3,25.5,Kristaps Porzingis,65
2015-16,NYK,72,2046,24.3,23.3,24.5,23.3,24.8,29.5,28.9,28.9,26.9,27.4,10.6,22.0,21.8,51.9,16.7,24.9,29.9,24.3,Kristaps Porzingis,65
