By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,DAL,30,1068,25.7,27.6,27.6,30.9,26.4,26.2,22.5,12.0,14.3,13.7,26.5,21.2,19.6,8.9,25.2,15.5,22.3,27.8,Kryie Irving,21
2023-24,DAL,58,2030,27.4,29.8,29.3,27.0,25.0,28.1,24.0,10.7,17.5,15.9,26.4,21.7,25.0,12.2,22.7,14.6,22.1,29.2,Kryie Irving,21
2022-23,TOT,60,2241,28.6,29.5,30.5,28.4,29.8,34.0,29.0,18.0,16.7,16.9,28.0,21.3,21.5,15.7,36.2,16.7,26.2,29.9,Kryie Irving,21
2022-23,DAL,20,763,27.0,28.9,28.7,22.0,22.8,32.1,26.9,21.4,16.2,17.1,30.9,20.1,26.3,19.7,42.6,17.6,24.0,28.4,Kryie Irving,21
2022-23,BKN,40,1478,29.4,29.8,31.5,32.7,34.2,35.1,30.3,16.6,16.9,16.8,26.5,21.9,19.3,14.7,33.3,16.2,27.4,30.8,Kryie Irving,21
2021-22,BKN,29,1092,28.3,28.9,30.1,34.0,32.8,27.3,24.6,6.8,14.9,13.0,29.3,25.6,21.0,13.3,22.1,16.1,23.6,29.2,Kryie Irving,21
2020-21,BKN,54,1886,29.7,31.3,31.2,27.4,27.4,29.1,25.2,15.7,15.0,15.1,30.5,26.9,27.4,17.5,32.0,18.2,25.7,30.6,Kryie Irving,21
2019-20,BKN,20,658,31.8,34.0,33.7,27.9,27.4,39.5,32.1,16.4,17.2,17.0,38.7,25.2,26.7,13.3,23.9,19.6,34.3,34.0,Kryie Irving,21
2018-19,BOS,67,2214,28.6,30.0,29.3,29.4,26.9,28.9,27.3,16.2,16.6,16.5,37.9,30.0,25.6,15.2,25.6,17.7,27.5,29.8,Kryie Irving,21
2017-18,BOS,60,1931,29.8,33.0,31.4,33.9,32.5,36.5,32.3,9.2,13.9,13.0,33.0,25.2,23.2,8.6,24.3,15.3,27.8,33.6,Kryie Irving,21
2016-17,CLE,72,2525,29.5,30.8,31.0,25.0,24.2,32.0,27.0,9.6,9.9,9.8,34.2,26.9,23.3,11.2,32.2,17.3,23.3,30.3,Kryie Irving,21
2015-16,CLE,53,1667,28.5,28.5,29.7,22.2,24.4,31.7,27.7,11.4,10.0,10.3,32.6,27.8,24.2,13.1,36.7,15.9,21.5,28.3,Kryie Irving,21
2014-15,CLE,75,2730,25.5,26.0,26.3,27.6,24.9,30.4,26.9,8.8,10.1,9.8,30.1,23.8,26.1,8.3,24.8,14.3,24.5,26.9,Kryie Irving,21
2013-14,CLE,71,2496,27.4,27.6,28.2,35.1,34.9,32.6,28.6,8.5,12.8,11.6,40.6,26.7,28.6,11.5,19.8,16.5,26.3,29.0,Kryie Irving,21
2012-13,CLE,59,2048,29.2,30.3,29.6,38.8,36.2,32.2,29.0,6.5,14.8,12.3,41.0,31.9,26.1,11.2,21.1,16.3,29.0,31.2,Kryie Irving,21
2011-12,CLE,51,1558,27.5,29.2,27.5,29.4,26.6,31.4,25.5,10.0,15.5,13.8,39.6,33.1,22.1,16.8,26.3,17.1,23.3,29.6,Kryie Irving,21
