By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,LAL,33,1152,28.3,30.9,28.7,25.0,22.0,25.2,25.9,13.0,29.5,25.8,44.8,36.7,14.1,15.4,27.6,11.9,25.8,29.4,LeBron James,27
2023-24,LAL,71,2504,28.5,29.4,28.0,24.3,22.7,31.9,33.4,14.4,25.3,23.2,38.5,34.2,23.1,13.0,25.7,10.1,29.4,29.3,LeBron James,27
2022-23,LAL,55,1954,32.2,33.4,33.4,26.7,29.2,33.0,32.6,16.6,26.7,24.6,34.1,32.5,19.2,17.6,23.2,12.3,31.6,32.7,LeBron James,27
2021-22,LAL,56,2084,31.7,35.2,32.5,29.6,29.5,37.2,36.1,17.1,27.7,25.5,32.3,31.9,21.2,27.1,27.4,14.0,36.0,34.9,LeBron James,27
2020-21,LAL,45,1504,31.0,32.2,30.8,28.3,28.0,32.6,34.9,10.1,28.6,24.8,44.0,36.8,20.9,13.4,22.5,12.1,30.8,31.9,LeBron James,27
2019-20,LAL,67,2316,30.8,30.9,30.5,26.5,27.1,33.4,34.9,13.0,26.9,23.7,54.2,36.3,19.1,10.6,33.1,11.6,32.1,30.8,LeBron James,27
2018-19,LAL,55,1937,31.1,31.6,30.5,27.8,27.1,40.3,41.8,15.4,27.9,25.4,43.2,32.0,23.7,14.6,25.2,12.0,35.6,32.6,LeBron James,27
2017-18,CLE,82,3026,31.0,33.1,29.6,18.6,19.4,34.1,36.6,18.4,29.1,26.9,49.5,40.6,26.0,28.9,24.8,11.8,34.3,31.7,LeBron James,27
2016-17,CLE,74,2795,29.2,30.6,27.2,15.8,16.9,35.5,38.7,16.8,27.3,25.0,45.7,38.9,23.1,19.3,25.9,13.4,36.0,29.6,LeBron James,27
2015-16,CLE,76,2709,30.5,32.7,29.9,14.1,17.0,37.3,37.9,17.8,23.8,22.3,38.6,33.5,26.7,22.4,28.8,13.2,34.5,31.5,LeBron James,27
2014-15,CLE,69,2493,31.8,30.9,30.4,22.5,24.2,37.9,40.6,9.2,22.1,18.9,43.5,37.4,27.2,21.9,22.9,14.9,37.2,31.3,LeBron James,27
2013-14,MIA,77,2902,30.3,32.8,29.7,22.3,21.8,39.2,39.6,19.2,25.9,24.6,34.8,30.4,23.0,10.3,24.6,10.8,36.1,33.1,LeBron James,27
2012-13,MIA,76,2877,29.4,32.3,28.9,20.1,19.7,37.0,37.3,19.6,28.3,26.5,38.9,29.2,23.5,20.7,22.7,10.1,35.0,32.1,LeBron James,27
2011-12,MIA,62,2326,31.1,33.8,30.6,20.0,19.7,39.7,39.7,19.1,26.7,24.8,38.6,31.2,24.6,18.3,15.7,10.7,37.3,34.2,LeBron James,27
2010-11,MIA,79,3063,30.7,31.9,30.3,23.7,25.5,34.6,35.6,12.8,24.4,21.7,43.5,32.3,29.5,15.2,21.8,12.7,33.2,32.0,LeBron James,27
2009-10,CLE,76,2966,32.8,32.0,31.7,26.7,30.6,47.7,45.0,12.2,24.0,21.4,45.1,31.8,28.9,23.9,19.1,10.0,40.7,34.6,LeBron James,27
2008-09,CLE,81,3054,33.0,32.9,31.9,24.9,28.2,47.4,46.4,15.1,25.3,22.7,44.3,31.1,27.4,26.4,25.0,11.2,44.6,35.0,LeBron James,27
2007-08,CLE,75,3027,32.8,34.2,31.9,25.9,29.7,47.2,47.7,16.0,23.3,21.1,41.7,29.9,30.5,24.0,22.8,12.5,45.8,36.0,LeBron James,27
2006-07,CLE,78,3190,30.3,31.6,30.1,25.5,27.9,41.2,40.7,9.8,21.8,18.3,34.3,27.6,25.5,19.2,18.4,12.1,35.7,33.0,LeBron James,27
2005-06,CLE,79,3361,32.9,34.6,33.1,29.3,30.0,41.8,41.3,9.2,22.5,18.8,38.4,28.7,26.0,19.2,22.6,12.6,38.3,35.8,LeBron James,27
2004-05,CLE,80,3384,29.2,30.9,29.5,42.0,39.7,33.8,33.9,11.8,23.7,19.9,36.5,27.1,32.1,13.2,19.6,9.4,0.0,31.9,LeBron James,27
2003-04,CLE,79,3127,27.6,26.4,27.9,33.2,35.7,28.2,28.2,11.3,16.2,14.7,32.2,28.4,27.7,12.8,22.0,11.0,0.0,27.0,LeBron James,27
