By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,DET,36,1016,21.6,23.1,25.5,44.3,40.8,12.3,13.3,8.4,12.3,11.4,12.3,10.9,19.5,1.9,10.8,11.3,11.9,24.3,Malik Beasley,83
2023-24,MIL,79,2337,14.2,14.9,16.5,31.2,28.5,2.8,3.1,8.8,14.1,13.0,8.2,9.1,18.7,3.4,13.0,18.4,4.4,15.1,Malik Beasley,83
2022-23,TOT,81,2093,20.7,20.4,24.2,38.7,38.7,6.4,6.4,7.5,17.2,14.8,11.5,13.7,22.3,4.5,13.9,12.5,5.4,20.4,Malik Beasley,83
2022-23,LAL,26,621,20.2,19.7,23.3,42.0,40.6,5.5,6.6,6.2,16.8,14.5,9.5,16.0,23.1,1.9,11.8,15.7,5.3,19.8,Malik Beasley,83
2022-23,UTA,55,1472,20.9,20.7,24.6,37.6,38.0,6.8,6.3,8.0,17.4,15.0,12.5,12.8,21.9,5.4,14.7,11.6,5.4,20.7,Malik Beasley,83
2021-22,MIN,79,1976,18.9,19.6,22.5,36.7,35.0,6.8,6.6,5.8,14.9,12.7,11.1,7.3,12.0,5.4,17.0,9.8,4.5,20.0,Malik Beasley,83
2020-21,MIN,37,1214,23.5,25.5,25.8,36.4,33.6,19.0,17.6,10.7,16.7,15.2,13.4,17.1,14.4,5.2,20.4,11.4,13.5,26.0,Malik Beasley,83
2019-20,TOT,55,1209,20.8,22.0,23.4,30.6,31.0,12.2,11.4,6.8,16.0,13.7,11.7,15.6,18.5,7.1,20.9,14.3,11.1,21.5,Malik Beasley,83
2019-20,MIN,14,463,23.1,27.0,26.3,31.8,29.7,12.1,11.8,10.2,20.3,18.0,11.0,14.9,10.8,5.0,20.0,12.9,12.5,25.3,Malik Beasley,83
2019-20,DEN,41,746,19.3,18.7,21.6,29.6,31.9,12.4,11.2,5.1,13.4,11.2,12.1,16.0,23.3,8.3,21.4,15.2,10.1,19.0,Malik Beasley,83
2018-19,DEN,81,1879,18.1,21.1,20.9,35.8,32.5,9.3,8.3,8.0,12.3,11.2,8.9,10.6,18.7,6.1,16.0,14.9,8.6,21.0,Malik Beasley,83
2017-18,DEN,62,583,15.1,15.3,16.7,22.0,22.6,10.3,12.3,10.0,13.9,12.9,11.0,13.5,17.2,12.5,20.7,14.7,13.2,15.1,Malik Beasley,83
2016-17,DEN,22,165,21.6,22.8,25.0,18.0,24.3,13.8,13.2,18.5,8.9,10.5,12.1,13.3,30.4,0.0,35.3,15.2,15.3,20.9,Malik Beasley,83
