By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,IND,35,1095,20.5,20.6,20.6,22.7,22.3,17.8,19.4,28.9,25.6,26.2,8.8,24.0,18.6,58.4,15.8,23.2,22.0,20.4,Myles Turner,88
2023-24,IND,77,2076,23.4,23.6,23.0,19.7,20.7,33.7,35.1,30.7,29.1,29.4,7.4,21.1,13.5,53.3,19.2,27.0,33.5,24.6,Myles Turner,88
2022-23,IND,62,1825,22.5,25.1,22.1,16.5,16.8,32.7,34.0,30.4,31.5,31.3,8.5,19.7,12.4,61.9,18.2,27.8,35.2,25.1,Myles Turner,88
2021-22,IND,42,1235,17.3,19.4,17.6,20.5,19.8,19.9,21.3,26.7,27.2,27.1,7.2,15.6,15.6,69.8,12.8,23.8,20.6,19.6,Myles Turner,88
2020-21,IND,47,1455,16.7,16.7,16.3,18.5,19.9,22.8,23.4,25.9,23.3,23.8,6.2,16.8,16.7,74.6,10.8,28.2,21.6,17.8,Myles Turner,88
2019-20,IND,62,1826,18.0,17.6,18.0,23.1,24.2,22.0,23.1,26.6,24.8,25.1,8.0,17.0,16.4,57.4,12.8,23.4,22.3,18.7,Myles Turner,88
2018-19,IND,74,2119,19.9,21.6,20.8,17.1,17.1,20.8,21.7,28.1,29.2,29.0,10.3,16.4,15.0,76.0,14.3,25.2,23.4,21.0,Myles Turner,88
2017-18,IND,65,1836,19.9,19.9,19.7,14.8,16.0,27.0,27.6,27.4,25.6,26.0,10.1,18.8,10.7,58.7,13.8,28.3,26.9,20.4,Myles Turner,88
2016-17,IND,81,2541,19.5,21.3,20.1,8.3,9.3,24.9,25.0,33.3,25.7,27.1,8.5,13.8,16.4,57.5,18.4,26.8,24.2,20.8,Myles Turner,88
2015-16,IND,60,1367,20.7,24.4,22.1,1.6,2.4,18.9,19.8,27.6,27.5,27.5,6.5,16.1,9.6,52.8,19.2,27.3,21.2,22.0,Myles Turner,88
