By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,DEN,29,1070,29.5,31.6,29.8,24.1,20.1,31.8,30.5,37.6,36.8,37.0,36.3,32.3,26.5,16.8,26.9,15.7,35.8,30.9,Nikola Jokic,3
2023-24,DEN,79,2737,28.8,31.2,27.7,12.2,13.2,39.4,37.8,37.2,38.5,38.2,39.0,34.3,26.0,25.3,27.3,21.6,41.2,30.4,Nikola Jokic,3
2022-23,DEN,69,2323,26.3,28.2,24.0,9.4,9.9,39.6,37.0,34.3,40.4,39.0,41.6,36.9,22.7,23.6,25.8,22.3,39.2,27.9,Nikola Jokic,3
2021-22,DEN,74,2476,30.9,33.6,29.5,16.3,17.2,42.8,42.4,45.3,42.9,43.3,37.4,37.2,30.9,34.8,29.9,21.8,45.5,33.3,Nikola Jokic,3
2020-21,DEN,72,2488,29.3,31.6,28.1,14.5,14.2,40.8,38.3,38.2,33.4,34.6,40.6,33.9,23.2,23.1,27.9,22.0,40.9,31.0,Nikola Jokic,3
2019-20,DEN,73,2335,26.6,27.9,25.4,15.4,17.3,31.1,30.7,32.9,34.1,33.8,39.2,34.4,21.9,21.6,15.8,23.7,36.5,27.1,Nikola Jokic,3
2018-19,DEN,80,2504,27.1,27.7,25.8,14.5,16.9,35.7,33.7,36.2,34.9,35.3,39.8,33.9,28.1,24.7,28.0,23.6,39.1,27.5,Nikola Jokic,3
2017-18,DEN,75,2443,23.8,24.0,23.0,18.5,17.8,30.5,28.4,34.4,35.6,35.3,34.4,28.6,23.5,28.1,19.0,24.0,35.7,24.4,Nikola Jokic,3
2016-17,DEN,73,2038,23.1,26.8,22.8,9.7,11.1,23.4,22.7,43.2,33.9,36.2,29.7,28.0,21.9,37.4,26.0,28.6,27.7,24.6,Nikola Jokic,3
2015-16,DEN,80,1733,19.4,22.3,19.2,9.6,9.8,24.4,23.8,41.5,31.1,33.9,22.8,20.8,27.0,31.8,24.4,30.8,27.8,21.6,Nikola Jokic,3
