By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,CHI,35,1130,22.4,28.0,24.3,18.7,17.2,18.8,18.0,38.9,32.7,33.9,16.1,16.3,16.6,24.2,15.4,21.2,26.0,25.6,Nikola Vucevic,46
2023-24,CHI,76,2610,23.3,26.1,25.4,14.1,17.4,13.2,13.1,40.2,33.9,35.3,18.1,18.5,12.9,25.2,19.5,19.2,15.9,23.0,Nikola Vucevic,46
2022-23,CHI,82,2746,21.8,24.7,23.6,19.9,20.8,14.0,13.8,39.3,38.5,38.7,18.5,18.6,14.9,24.3,17.8,17.8,17.6,22.7,Nikola Vucevic,46
2021-22,CHI,73,2418,24.4,26.2,26.4,18.3,21.5,11.2,12.2,35.6,38.4,37.9,18.4,21.4,20.1,35.9,20.8,21.1,15.4,23.2,Nikola Vucevic,46
2020-21,TOT,70,2348,29.2,33.9,32.0,28.8,26.5,21.0,19.4,30.7,38.3,36.7,21.6,19.0,20.6,27.1,21.6,16.7,20.5,31.7,Nikola Vucevic,46
2020-21,CHI,26,848,27.9,30.7,30.4,27.2,25.3,22.0,19.7,31.7,37.8,36.5,20.4,18.1,21.3,28.2,24.8,19.5,22.8,29.5,Nikola Vucevic,46
2020-21,ORL,44,1500,29.9,35.8,32.9,29.7,27.2,20.5,19.3,30.1,38.6,36.8,22.4,19.5,20.2,26.4,19.3,15.1,19.4,33.0,Nikola Vucevic,46
2019-20,ORL,62,1998,25.8,28.7,28.1,21.7,22.3,18.7,18.4,37.5,36.6,36.8,20.2,18.1,15.8,27.0,26.0,19.0,20.4,26.5,Nikola Vucevic,46
2018-19,ORL,80,2510,27.6,32.2,29.1,14.1,14.0,22.9,23.5,43.2,39.4,40.2,21.8,22.8,23.2,34.1,25.2,17.7,22.6,29.0,Nikola Vucevic,46
2017-18,ORL,57,1683,25.2,27.7,27.3,16.6,19.0,14.8,13.8,37.4,35.1,35.5,20.9,22.3,18.2,42.2,18.3,22.3,16.0,24.8,Nikola Vucevic,46
2016-17,ORL,75,2163,24.1,26.8,25.9,6.6,7.1,15.1,17.0,38.5,39.0,38.9,19.7,19.2,22.0,35.1,14.9,22.1,18.8,23.5,Nikola Vucevic,46
2015-16,ORL,65,2037,26.5,31.5,28.4,0.6,1.0,18.6,18.8,38.6,28.6,31.1,17.6,20.9,15.5,37.2,22.1,21.6,21.9,27.4,Nikola Vucevic,46
2014-15,ORL,74,2529,25.4,31.3,27.4,0.6,0.6,22.0,21.6,43.8,34.4,36.7,12.9,19.1,12.9,29.8,15.5,21.4,23.1,28.0,Nikola Vucevic,46
2013-14,ORL,57,1812,21.4,24.9,22.1,0.0,0.0,18.6,18.6,47.9,35.3,38.3,12.8,20.6,23.0,33.8,18.8,23.8,21.1,22.2,Nikola Vucevic,46
2012-13,ORL,77,2559,19.1,23.1,19.9,0.0,0.3,14.0,15.6,46.0,37.9,40.0,11.6,18.1,18.3,36.4,21.6,22.4,16.3,20.4,Nikola Vucevic,46
2011-12,PHI,51,812,18.8,21.1,20.4,3.4,3.1,8.3,11.4,44.2,28.1,32.3,9.0,17.1,16.0,42.0,10.0,39.4,9.7,18.3,Nikola Vucevic,46
