By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,LAC,26,867,27.1,29.3,29.1,41.3,35.1,30.1,27.2,4.3,13.6,11.4,13.6,19.1,19.1,6.3,26.8,15.4,25.3,30.8,Norman Powell,23
2023-24,LAC,76,1990,19.3,21.2,21.3,30.0,27.4,16.9,16.7,4.2,13.0,11.1,7.8,12.5,13.6,9.6,18.0,16.1,17.6,21.5,Norman Powell,23
2022-23,LAC,60,1567,25.1,26.4,25.6,29.4,26.4,34.1,33.1,8.2,14.2,12.9,14.9,20.8,21.4,11.1,23.5,18.1,33.2,28.1,Norman Powell,23
2021-22,TOT,45,1458,23.1,23.6,23.4,25.7,22.2,33.1,32.0,7.5,12.6,11.5,13.8,17.3,18.7,14.6,27.1,17.5,30.3,25.5,Norman Powell,23
2021-22,LAC,5,125,29.5,32.3,30.4,35.1,28.2,42.3,39.8,15.8,14.1,14.4,23.7,18.4,9.5,30.8,37.5,24.6,40.3,35.0,Norman Powell,23
2021-22,POR,40,1333,22.4,22.8,22.8,24.8,21.7,31.8,30.9,6.8,12.5,11.3,12.8,17.2,19.6,13.0,26.4,16.7,29.1,24.5,Norman Powell,23
2020-21,TOT,69,2205,22.1,23.2,22.3,24.5,23.3,28.3,26.4,9.7,11.5,11.1,11.3,21.0,22.4,7.2,26.4,16.8,25.5,24.2,Norman Powell,23
2020-21,POR,27,928,20.1,19.1,19.9,19.2,20.6,27.7,25.1,11.5,9.7,10.1,11.3,20.2,25.9,10.4,24.5,17.4,24.4,20.4,Norman Powell,23
2020-21,TOR,42,1277,23.5,26.4,24.1,27.9,25.2,28.7,27.3,8.1,12.9,11.9,11.3,21.4,20.3,5.2,27.6,16.5,26.3,27.0,Norman Powell,23
2019-20,TOR,52,1479,21.0,23.7,22.1,25.9,24.3,22.9,21.5,10.3,14.9,14.1,11.5,17.4,20.7,13.9,21.1,16.2,18.9,23.8,Norman Powell,23
2018-19,TOR,60,1126,18.2,20.2,19.0,25.3,21.5,15.9,15.0,7.4,15.2,13.6,16.2,19.9,18.6,10.1,19.1,17.2,15.5,20.1,Norman Powell,23
2017-18,TOR,70,1062,18.5,17.1,19.9,21.5,25.0,10.3,9.4,7.5,15.0,13.4,17.0,20.8,19.5,13.8,19.3,22.2,13.3,16.6,Norman Powell,23
2016-17,TOR,76,1368,20.8,20.6,21.5,22.3,24.7,22.0,21.5,9.5,15.6,14.2,16.8,19.0,20.8,9.6,24.7,19.8,19.8,21.0,Norman Powell,23
2015-16,TOR,49,725,17.4,17.3,18.8,25.9,25.7,14.3,14.1,9.8,18.2,16.2,15.4,15.5,24.4,11.4,25.8,19.1,13.4,17.5,Norman Powell,23
