By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,NYK,37,1349,18.4,18.8,19.8,20.5,22.7,13.9,14.2,16.6,14.7,15.2,9.2,13.8,24.9,30.4,30.5,19.2,12.1,18.3,OG Anunoby,78
2023-24,TOT,50,1702,17.3,18.2,18.4,22.9,22.3,11.3,11.7,11.7,13.1,12.8,10.6,16.7,24.5,20.6,22.5,18.6,11.7,17.7,OG Anunoby,78
2023-24,NYK,23,802,16.8,17.3,17.5,17.7,17.4,11.3,11.7,11.6,13.0,12.7,8.1,16.9,29.4,26.4,28.0,19.3,10.8,16.4,OG Anunoby,78
2023-24,TOR,27,900,17.8,19.0,19.2,28.4,27.0,11.4,11.6,11.8,13.2,12.9,12.5,16.5,19.7,14.8,18.7,18.0,12.5,18.9,OG Anunoby,78
2022-23,TOR,67,2386,19.2,20.4,19.7,25.8,22.6,15.6,14.6,15.1,15.9,15.7,10.7,22.0,26.0,19.3,28.9,20.5,16.0,20.1,OG Anunoby,78
2021-22,TOR,48,1728,20.4,21.1,21.7,25.4,25.7,16.8,17.0,16.7,16.9,16.8,15.6,17.2,20.2,14.9,27.4,18.8,16.8,21.0,OG Anunoby,78
2020-21,TOR,43,1433,19.3,20.6,19.7,22.4,21.4,16.8,17.6,21.4,18.8,19.3,12.4,19.7,26.9,18.6,23.3,18.1,15.0,20.3,OG Anunoby,78
2019-20,TOR,69,2066,14.2,16.4,15.1,15.0,14.3,9.4,10.8,22.5,18.7,19.4,9.9,12.8,23.8,24.6,27.6,19.2,10.8,15.1,OG Anunoby,78
2018-19,TOR,67,1352,14.8,16.3,16.1,21.3,21.4,7.5,10.1,19.6,14.6,15.8,7.3,13.4,18.6,14.8,20.9,21.6,10.2,15.4,OG Anunoby,78
2017-18,TOR,74,1481,12.1,12.7,12.9,20.0,20.0,7.2,9.5,14.7,12.6,13.0,7.3,10.6,24.0,7.5,16.4,21.5,9.1,12.6,OG Anunoby,78
