By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,IND,37,1236,22.2,25.3,23.9,21.2,18.6,25.4,26.2,27.3,24.7,25.3,16.9,13.9,15.0,7.6,22.3,21.2,24.9,24.8,Pascal Siakam,49
2023-24,TOT,80,2658,25.0,27.3,25.4,13.1,14.1,31.0,31.6,24.7,23.3,23.6,20.6,20.8,16.8,9.1,16.7,18.3,31.0,26.4,Pascal Siakam,49
2023-24,IND,41,1303,25.2,28.3,26.1,11.6,11.4,27.7,30.1,33.9,26.0,27.7,18.4,18.9,17.1,10.6,18.8,19.9,29.6,26.5,Pascal Siakam,49
2023-24,TOR,39,1354,24.8,26.4,24.8,14.6,16.8,33.9,32.8,17.4,20.7,19.8,22.6,22.4,16.6,7.5,14.6,16.7,32.3,26.4,Pascal Siakam,49
2022-23,TOR,71,2652,27.0,27.1,26.3,15.5,16.5,36.3,36.6,19.8,25.3,23.8,30.3,27.6,12.5,12.9,14.9,20.7,37.3,27.4,Pascal Siakam,49
2021-22,TOR,68,2578,25.7,27.1,25.0,11.7,12.2,32.4,32.9,18.7,26.4,24.2,30.0,28.5,18.4,17.6,25.1,21.1,33.0,26.2,Pascal Siakam,49
2020-21,TOR,56,2006,26.1,25.4,25.7,11.9,14.9,35.0,34.4,23.9,23.1,23.3,24.3,25.7,17.7,18.1,29.0,19.8,31.3,25.1,Pascal Siakam,49
2019-20,TOR,60,2110,27.8,28.1,28.7,20.8,22.1,29.3,29.8,17.4,23.6,22.5,18.8,23.9,15.1,26.5,25.4,18.2,25.5,27.3,Pascal Siakam,49
2018-19,TOR,80,2548,20.5,22.8,20.3,11.8,12.3,25.1,25.9,25.5,22.2,22.9,17.6,21.5,17.2,19.0,20.4,23.0,22.0,22.0,Pascal Siakam,49
2017-18,TOR,81,1679,15.4,17.5,16.5,6.9,11.5,10.5,12.8,24.2,25.2,25.0,18.2,14.5,20.5,19.2,16.0,21.4,12.6,15.4,Pascal Siakam,49
2016-17,TOR,55,859,12.9,14.6,13.6,0.8,2.1,7.6,8.8,30.8,22.0,24.4,5.1,12.9,16.0,50.6,19.6,30.4,8.8,12.6,Pascal Siakam,49
