By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,PHI,24,768,24.4,24.0,25.5,25.5,26.8,19.1,18.8,11.8,23.4,20.8,31.7,26.8,24.2,17.2,14.3,20.5,22.8,23.3,Paul George,80
2023-24,LAC,74,2502,26.4,25.9,27.8,35.0,34.7,27.5,25.1,7.8,20.2,17.5,18.9,23.1,26.9,14.0,24.0,21.5,23.2,27.1,Paul George,80
2022-23,LAC,56,1939,29.4,27.4,29.6,29.5,31.3,34.3,32.0,13.4,21.9,20.2,30.1,31.4,28.5,12.7,28.7,20.1,29.5,28.8,Paul George,80
2021-22,LAC,31,1077,32.9,30.3,32.8,29.4,30.9,36.5,35.2,6.3,25.8,22.0,35.4,37.5,36.2,12.9,35.4,19.3,36.7,31.1,Paul George,80
2020-21,LAC,54,1821,29.6,27.5,29.1,30.5,30.7,33.6,32.8,13.2,23.6,21.5,29.4,35.7,21.8,16.4,31.4,18.7,32.3,28.7,Paul George,80
2019-20,LAC,48,1419,29.2,27.6,29.8,39.4,37.6,32.5,30.2,7.8,23.1,19.7,26.2,29.8,29.1,13.5,31.9,17.7,28.0,29.7,Paul George,80
2018-19,OKC,77,2841,28.5,27.7,29.2,41.7,38.5,40.4,35.1,14.3,24.6,21.9,22.8,25.7,30.1,11.4,26.6,16.6,31.0,31.2,Paul George,80
2017-18,OKC,79,2891,24.8,23.8,25.3,37.7,33.4,31.4,27.5,9.6,19.2,16.5,20.1,24.6,28.3,13.7,23.1,19.4,25.7,26.4,Paul George,80
2016-17,IND,75,2689,28.7,28.0,29.0,37.0,36.4,32.7,29.8,12.6,23.6,21.4,19.0,29.1,24.9,9.1,21.4,19.5,28.2,29.6,Paul George,80
2015-16,IND,81,2819,29.6,27.2,29.2,41.2,39.4,41.1,36.9,13.3,24.8,22.1,26.8,30.5,27.1,10.9,28.7,19.8,35.1,30.9,Paul George,80
2014-15,IND,6,91,31.9,26.9,32.9,52.9,53.7,26.7,22.4,16.7,25.4,23.2,17.6,38.7,50.0,10.0,0.0,28.9,22.2,29.3,Paul George,80
2013-14,IND,80,2898,27.8,26.5,28.3,46.1,45.1,35.2,32.2,10.4,23.0,20.1,22.9,24.9,36.6,6.5,26.8,16.7,28.7,29.5,Paul George,80
2012-13,IND,79,2972,23.1,22.3,23.7,40.1,39.1,20.4,19.1,11.3,25.3,21.4,25.7,25.1,30.8,12.7,21.9,19.1,19.2,23.3,Paul George,80
2011-12,IND,66,1958,19.1,19.1,19.4,38.1,35.7,17.6,17.4,11.6,23.8,20.5,20.3,20.4,33.0,15.4,21.9,22.2,18.8,19.9,Paul George,80
2010-11,IND,61,1265,17.2,18.4,18.1,25.3,27.9,13.5,13.6,11.3,22.2,19.2,13.9,17.4,30.4,20.3,19.5,21.4,12.8,17.8,Paul George,80
