By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,CHI,31,1041,25.7,26.6,25.4,28.1,24.9,31.1,31.2,4.3,16.9,14.5,21.3,29.0,17.0,9.2,18.2,13.7,27.5,27.4,Zach LaVine,29
2023-24,CHI,25,872,23.8,23.0,23.7,27.8,27.8,33.1,31.4,5.4,20.9,17.7,22.5,24.3,16.5,10.3,27.0,16.5,22.1,24.9,Zach LaVine,29
2022-23,CHI,77,2768,27.8,27.8,28.1,32.9,32.3,37.4,36.1,9.5,15.5,14.4,23.2,25.7,16.3,7.3,29.2,15.3,28.2,29.7,Zach LaVine,29
2021-22,CHI,67,2328,28.4,27.9,28.3,33.2,31.9,39.1,37.6,5.9,17.4,15.2,25.3,28.3,11.9,12.2,27.1,14.0,31.9,30.1,Zach LaVine,29
2020-21,CHI,58,2034,30.2,31.2,30.1,36.1,33.0,40.0,37.9,9.5,16.9,15.4,25.1,31.5,17.0,14.1,30.9,17.7,31.1,32.9,Zach LaVine,29
2019-20,CHI,60,2085,31.2,31.7,31.8,34.8,32.3,35.9,34.6,9.3,18.2,16.0,25.4,30.2,20.8,17.2,34.7,14.3,28.4,32.7,Zach LaVine,29
2018-19,CHI,63,2171,29.8,29.6,29.0,28.3,26.3,40.2,39.0,10.4,16.3,15.1,28.4,32.3,18.5,12.9,39.6,15.3,31.1,31.2,Zach LaVine,29
2017-18,CHI,24,656,29.0,26.1,29.5,30.4,30.5,39.2,37.5,7.5,18.4,16.2,24.7,25.1,23.3,8.9,43.5,20.2,28.8,28.6,Zach LaVine,29
2016-17,MIN,47,1749,21.5,23.1,23.2,41.7,38.3,18.4,17.5,4.5,12.8,10.5,16.3,16.1,15.0,5.8,18.7,14.2,15.1,23.7,Zach LaVine,29
2015-16,MIN,82,2293,22.8,24.4,25.2,40.3,36.4,15.3,15.4,6.1,13.5,11.8,23.4,20.3,18.4,8.4,22.8,19.4,15.0,23.5,Zach LaVine,29
2014-15,MIN,77,1902,21.8,20.6,21.2,29.8,29.5,19.1,17.6,6.7,16.7,14.0,34.1,32.0,16.2,6.2,17.6,21.6,16.6,20.7,Zach LaVine,29
