By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp.1,Opp.2,Opp.3,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,HOU,36,31.4,2.6,3.7,0.7,13.4,9.5,8.6,7.8,30.1,0.9,1.3,2.8,5.2,Alperen Sengun,55
2023-24,HOU,63,32.5,2.8,3.2,1.0,14.7,9.3,9.2,7.3,31.8,0.7,1.2,3.3,5.2,Alperen Sengun,55
2022-23,HOU,75,28.9,1.6,2.6,0.7,11.0,11.9,8.1,11.4,29.6,0.9,0.8,3.4,4.4,Alperen Sengun,55
2021-22,HOU,72,20.7,1.3,1.9,0.5,6.0,9.4,6.5,7.6,23.4,0.9,0.6,3.0,3.3,Alperen Sengun,55
2024-25,GSW,32,29.0,2.5,2.2,2.2,6.6,10.5,7.8,9.3,26.7,0.8,1.1,1.8,2.6,Andrew Wiggins,76
2023-24,GSW,71,27.0,1.4,1.6,1.4,6.1,10.4,8.3,8.4,28.2,0.6,0.6,2.1,2.3,Andrew Wiggins,76
2022-23,GSW,37,32.2,3.1,2.1,2.0,6.8,11.5,8.9,9.4,32.9,0.8,0.6,2.9,2.2,Andrew Wiggins,76
2021-22,GSW,73,31.9,2.4,1.9,1.8,6.9,10.8,8.4,8.3,29.5,0.7,0.6,2.2,2.9,Andrew Wiggins,76
2020-21,GSW,71,33.3,2.9,2.2,2.3,8.1,12.2,9.7,9.6,31.9,1.0,0.6,2.2,3.0,Andrew Wiggins,76
2019-20,TOT,54,34.4,3.1,1.6,1.6,10.4,13.5,9.5,10.0,34.5,1.0,1.0,2.4,3.9,Andrew Wiggins,76
2019-20,GSW,12,33.6,3.8,1.2,3.4,9.3,14.8,10.1,12.3,34.8,1.4,0.9,2.2,4.3,Andrew Wiggins,76
2019-20,MIN,42,34.7,3.0,1.8,1.1,10.7,13.2,9.3,9.3,34.4,0.9,1.1,2.4,3.8,Andrew Wiggins,76
