By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2024-25,HOU,36,31.4,90.3,9.7,76.4,5.6,4.8,3.7,18.8,13.6,70.9,42.5,57.5,100.0,0.0,44.9,55.1,Alperen Sengun,55
2023-24,HOU,63,32.5,88.7,11.3,74.2,4.5,7.4,4.9,18.4,13.3,69.7,62.6,37.4,100.0,0.0,64.9,35.1,Alperen Sengun,55
2022-23,HOU,75,28.9,92.9,7.1,76.3,2.2,5.1,4.5,18.6,10.6,74.1,49.9,50.1,100.0,0.0,52.0,48.0,Alperen Sengun,55
2021-22,HOU,72,20.7,77.7,22.3,63.6,1.2,12.6,4.8,23.8,14.0,62.4,43.6,56.4,96.6,3.4,49.8,50.2,Alperen Sengun,55
2024-25,GSW,32,29.0,58.7,41.3,45.6,5.3,38.2,13.3,16.2,15.4,40.3,59.2,40.8,88.1,11.9,69.5,30.5,Andrew Wiggins,76
2023-24,GSW,71,27.0,67.4,32.6,55.8,9.6,29.1,10.9,15.1,10.5,46.2,59.2,40.8,90.1,9.9,67.1,32.9,Andrew Wiggins,76
2022-23,GSW,37,32.2,57.5,42.5,50.9,11.4,42.2,11.5,6.9,18.0,39.5,62.1,37.9,95.5,4.5,74.0,26.0,Andrew Wiggins,76
2021-22,GSW,73,31.9,60.8,39.2,50.6,10.7,37.5,10.7,11.9,13.8,40.0,49.7,50.3,89.8,10.2,62.9,37.1,Andrew Wiggins,76
2020-21,GSW,71,33.3,65.2,34.8,55.3,11.5,31.8,12.3,12.9,15.8,43.8,47.9,52.1,82.9,17.1,57.6,42.4,Andrew Wiggins,76
2019-20,TOT,54,34.4,65.8,34.2,55.5,7.8,28.3,7.5,16.2,14.5,47.7,39.3,60.7,77.5,22.5,49.0,51.0,Andrew Wiggins,76
2019-20,GSW,12,33.6,68.6,31.4,56.7,8.6,25.8,17.6,17.5,19.7,48.1,50.0,50.0,95.0,5.0,60.5,39.5,Andrew Wiggins,76
2019-20,MIN,42,34.7,65.2,34.8,55.2,7.6,29.0,5.0,15.8,13.2,47.6,36.5,63.5,73.6,26.4,46.2,53.8,Andrew Wiggins,76
2018-19,MIN,73,34.8,71.2,28.8,57.5,16.7,26.8,10.4,15.7,13.0,40.9,45.0,55.0,81.4,18.6,53.6,46.4,Andrew Wiggins,76
2017-18,MIN,82,36.3,74.0,26.0,62.9,16.7,23.1,10.1,14.0,15.8,46.3,47.0,53.0,84.8,15.2,54.5,45.5,Andrew Wiggins,76
2016-17,MIN,82,37.2,81.6,18.4,62.7,23.1,16.0,11.3,21.3,14.1,39.6,41.4,58.6,75.7,24.3,46.4,53.6,Andrew Wiggins,76
2015-16,MIN,81,35.1,85.3,14.7,64.1,18.5,10.2,12.5,25.7,16.4,45.6,51.0,49.0,82.5,17.5,54.0,46.0,Andrew Wiggins,76
2014-15,MIN,82,36.2,88.9,11.1,66.0,19.9,8.4,13.0,25.6,19.3,46.1,48.9,51.1,87.2,12.8,51.9,48.1,Andrew Wiggins,76
2024-25,POR,32,31.9,48.0,52.0,40.4,9.8,46.0,8.1,13.6,10.9,30.6,20.8,79.2,54.9,45.1,35.5,64.5,Anfernee Simons,58
2023-24,POR,46,34.4,51.6,48.4,39.3,8.3,45.0,13.3,15.7,13.7,31.0,16.2,83.8,62.2,37.8,36.1,63.9,Anfernee Simons,58
2022-23,POR,62,35.0,46.2,53.8,39.1,10.0,48.7,10.9,12.2,14.6,29.1,29.0,71.0,68.4,31.6,46.9,53.1,Anfernee Simons,58
2021-22,POR,57,29.5,44.5,55.5,35.2,11.9,54.4,8.5,10.4,14.1,23.3,19.5,80.5,65.4,34.6,42.8,57.2,Anfernee Simons,58
2020-21,POR,64,17.3,29.7,70.3,19.1,6.8,71.7,8.8,9.2,8.0,12.4,12.5,87.5,68.3,31.7,52.4,47.6,Anfernee Simons,58
