By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,HOU,36,1129,25.9,27.4,25.1,4.0,6.4,31.3,33.0,37.1,31.1,32.8,33.7,30.2,23.7,27.6,33.8,22.2,39.3,25.6,Alperen Sengun,55
2023-24,HOU,63,2046,27.0,29.6,25.7,6.3,7.6,33.2,36.5,41.2,28.1,31.2,27.9,31.6,24.1,27.7,30.2,25.7,39.6,27.6,Alperen Sengun,55
2022-23,HOU,75,2171,21.1,23.2,19.9,4.2,4.3,24.2,25.1,41.9,29.3,32.8,27.5,27.5,23.2,36.6,23.8,30.1,34.2,21.7,Alperen Sengun,55
2021-22,HOU,72,1489,21.4,20.6,19.8,7.4,10.2,30.1,31.0,41.7,27.1,30.9,26.5,26.5,24.6,45.6,24.9,33.8,33.8,20.6,Alperen Sengun,55
2024-25,GSW,32,928,21.8,23.6,23.3,23.0,22.0,30.4,27.2,19.2,13.5,15.0,13.5,13.3,17.9,25.7,28.8,15.0,23.1,24.4,Andrew Wiggins,76
2023-24,GSW,71,1920,20.6,20.5,21.6,14.7,16.4,24.1,25.4,23.7,15.8,17.8,10.4,14.9,17.5,22.9,23.9,18.8,22.6,20.2,Andrew Wiggins,76
2022-23,GSW,37,1190,21.2,22.7,23.4,20.3,20.5,12.9,16.3,25.5,14.7,17.1,10.8,13.2,24.2,27.2,24.1,19.0,18.9,21.2,Andrew Wiggins,76
2021-22,GSW,73,2330,22.4,24.3,24.0,22.6,21.1,19.4,23.2,16.7,13.7,14.4,12.4,15.5,18.1,22.5,21.8,15.5,24.4,23.3,Andrew Wiggins,76
2020-21,GSW,71,2364,22.9,25.0,24.5,20.1,20.0,21.3,23.5,20.0,15.3,16.2,12.6,16.8,16.9,31.4,20.2,15.5,22.3,23.8,Andrew Wiggins,76
2019-20,TOT,54,1859,26.9,28.5,28.4,22.8,22.7,25.0,27.3,15.7,16.0,15.9,20.9,22.5,15.0,22.9,28.6,15.6,25.4,27.2,Andrew Wiggins,76
2019-20,GSW,12,403,24.3,25.7,25.8,22.5,20.6,25.0,28.9,20.0,13.8,15.3,18.5,19.4,28.1,37.8,33.3,14.9,28.9,25.3,Andrew Wiggins,76
2019-20,MIN,42,1455,27.6,29.2,29.1,22.9,23.2,25.0,26.8,14.5,16.5,16.0,21.6,23.4,11.9,19.4,27.6,15.8,24.5,27.7,Andrew Wiggins,76
2018-19,MIN,73,2543,24.0,22.6,25.3,21.9,23.9,20.7,22.8,14.1,14.9,14.7,14.4,19.7,17.0,18.2,28.8,14.1,19.7,22.2,Andrew Wiggins,76
2017-18,MIN,82,2979,22.8,22.2,24.2,23.4,25.3,16.7,20.6,12.3,14.0,13.6,11.5,18.3,17.3,18.2,21.2,15.2,18.9,21.3,Andrew Wiggins,76
2016-17,MIN,82,3048,28.6,28.0,29.4,21.8,22.2,32.1,33.7,14.1,11.5,12.2,12.3,21.3,16.9,10.6,31.1,15.1,29.8,28.4,Andrew Wiggins,76
2015-16,MIN,81,2845,26.7,26.2,26.8,18.6,21.0,33.1,34.3,17.5,10.0,11.8,11.6,21.1,16.1,15.8,29.4,14.4,30.6,27.3,Andrew Wiggins,76
2014-15,MIN,82,2969,22.3,22.1,22.1,13.4,14.2,29.3,30.1,18.2,13.5,14.9,13.0,19.4,16.9,20.0,19.8,16.4,29.5,23.1,Andrew Wiggins,76
2024-25,POR,32,1020,25.0,25.1,26.0,33.6,32.2,25.6,22.4,3.8,11.3,9.3,33.8,24.8,18.1,1.9,31.5,15.6,18.9,26.2,Anfernee Simons,58
2023-24,POR,46,1582,27.6,27.4,28.6,38.3,36.4,31.5,27.5,5.5,14.8,12.1,32.8,27.0,9.5,4.2,25.5,15.2,23.5,29.3,Anfernee Simons,58
2022-23,POR,62,2171,24.7,25.5,27.2,35.3,34.6,18.7,16.8,4.2,10.0,8.7,23.5,20.5,14.5,7.0,21.4,15.7,14.3,25.5,Anfernee Simons,58
2021-22,POR,57,1681,24.4,25.9,26.2,35.8,32.4,17.6,15.3,7.0,10.8,9.9,28.3,24.4,10.9,4.2,21.9,15.8,14.0,25.9,Anfernee Simons,58
2020-21,POR,64,1104,18.0,18.1,19.3,32.3,30.2,11.3,11.5,5.6,16.4,13.7,20.0,17.6,13.5,7.0,16.5,20.6,9.5,19.1,Anfernee Simons,58
2019-20,POR,70,1449,18.0,17.8,19.5,20.4,22.1,14.8,14.2,7.7,12.0,11.0,17.2,15.0,16.0,5.9,23.5,18.7,13.3,17.6,Anfernee Simons,58
2018-19,POR,20,141,24.0,22.6,25.3,27.0,34.5,23.7,30.2,11.1,10.2,10.4,20.3,20.4,5.9,0.0,33.3,17.3,24.4,23.2,Anfernee Simons,58
